source_interpretation_label	count
noncoding_common_or_low_support	690908
noncoding_uninterpretable	156602
regulatory_or_transcript_rare	30858
coding_common_or_low_support	25500
lof_or_missense_rare	1141
coding_uninterpretable	507
lof_rare_clinically_supported	1
