SRA	run_id	depth_category	artifact_group	artifact_name	source_path	destination_path	operation	status	rows_written	notes
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_3b_tier3_background_summary.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_3b_tier3_background_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_3b_tier3_background_summary.tsv	copy	ok	25	copied without renaming; gene_symbol missing values canonicalized to NO_GENE_SYMBOL when present
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_4a_representative_noncoding_semantic_exemplars.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_4a_representative_noncoding_semantic_exemplars.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_4a_representative_noncoding_semantic_exemplars.tsv	copy	ok	15	copied without renaming; gene_symbol missing values canonicalized to NO_GENE_SYMBOL when present
ERR10619203	run_2026_05_30_071639	q3	tiered_gene_outputs	tier1_unique_genes.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier1_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/sql_outputs/tiered_gene_outputs/tier1_unique_genes.tsv	copy	ok	2	copied with contract-facing filename; gene_symbol missing values canonicalized to NO_GENE_SYMBOL
ERR10619203	run_2026_05_30_071639	q3	tiered_gene_outputs	tier2_unique_genes.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier2_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/sql_outputs/tiered_gene_outputs/tier2_unique_genes.tsv	copy	ok	7819	copied with contract-facing filename; gene_symbol missing values canonicalized to NO_GENE_SYMBOL
ERR10619203	run_2026_05_30_071639	q3	tiered_gene_outputs	tier3_unique_genes.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier3_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619203/sql_outputs/tiered_gene_outputs/tier3_unique_genes.tsv	copy	ok	25624	copied with contract-facing filename; gene_symbol missing values canonicalized to NO_GENE_SYMBOL
ERR10619207	run_2026_06_01_124134	q3	directory	figures		docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619207/figures	mkdir	ok	NA	directory ensured
ERR10619207	run_2026_06_01_124134	q3	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619207/tables	mkdir	ok	NA	directory ensured
ERR10619207	run_2026_06_01_124134	q3	directory	targeted_semantic_buckets		docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619207/sql_outputs/targeted_semantic_buckets	mkdir	ok	NA	directory ensured
ERR10619207	run_2026_06_01_124134	q3	directory	tiered_gene_outputs		docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619207/sql_outputs/tiered_gene_outputs	mkdir	ok	NA	directory ensured
ERR10619207	run_2026_06_01_124134	q3	figure	ERR10619207_f5_interoperability_substrates.png	results/run_2026_06_01_124134/figures/ERR10619207_f5_interoperability_substrates.png	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619207/figures/ERR10619207_f5_interoperability_substrates.png	copy	ok	NA	copied actual VAP pluralized F5 filename
ERR10619207	run_2026_06_01_124134	q3	table	candidate_reviewability_readiness.tsv	docs/case_studies/cross_runs/cross_run_tables/candidate_reviewability_readiness.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619207/tables/candidate_reviewability_readiness.tsv	subset	ok	7	subset by exact run_id
ERR10619207	run_2026_06_01_124134	q3	table	overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/cross_run_tables/overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/contrasts/contrast_02_inputs/ERR10619207/tables/overlay_gene_coding_clinical_evidence.tsv	subset	ok	489	subset by exact run_id
