sample_id	run_id	priority_tier	count
ERR10619203	run_2026_05_30_071639	tier_1_high_confidence_candidate	2
ERR10619203	run_2026_05_30_071639	tier_2_moderate_candidate	24221
ERR10619203	run_2026_05_30_071639	tier_3_low_support_or_common	537313
ERR10619203	run_2026_05_30_071639	tier_4_uninterpretable_or_qc_limited	113057
