gene_symbol	n_variants
IL9RP4	6
LDLRAP1	6
LIAT1	6
LINC00243	6
LINC00458	6
LINC00504	6
LINC00574	6
LINC00581	6
LINC00665	6
LINC01060	6
LINC01088	6
LINC01162	6
LINC01170	6
LINC01301	6
LINC01376	6
LINC01440	6
LINC01446	6
LINC01478	6
LINC01524	6
LINC01597	6
LINC01606	6
LINC02027	6
LINC02109	6
LINC02240	6
LINC02245	6
LINC02301	6
LINC02422	6
LINC02580	6
LINC02646	6
LINC02649	6
LINC02733	6
LINC02789	6
LINC02842	6
LINC02884	6
LINC03050	6
LINC03124	6
LNCPOIR	6
LRIG2-DT	6
MAP2K1P1	6
MIR3667HG	6
MIR646HG	6
MOB3A	6
MRTO4	6
MYO5BP1	6
MYOSLID-AS1	6
NALCN-AS1	6
NAMA	6
NBPF17P	6
NBPF25P	6
NFIA-AS2	6
NIHCOLE	6
NLRP7	6
NMRAL2P	6
NOS1	6
OPA3	6
OR13A1	6
OR7E129P	6
PI4KA	6
PTPRS	6
PWRN4	6
RBFOX1	6
RMST	6
RNF32-DT	6
RNF38	6
RPUSD3	6
SCAND3	6
SCP2	6
SEC14L3	6
SERHL2	6
SH2D2A	6
SLC35E4	6
SMOX	6
STAG3L4	6
SUZ12P1	6
SYNGR4	6
TCP10L3	6
TESHL	6
TIGD4	6
TMEM30CP	6
TRBV4-2	6
UBBP4	6
USP2-AS1	6
VN2R3P	6
VWFP1	6
WDFY1	6
ZFPM2	6
ZNF22-AS1	6
AACSP1	5
ABHD16B	5
ACSBG1	5
ACTR3-AS1	5
ANKRD7	5
AP1S1	5
AP1S3	5
ARGLU1-DT	5
ARRDC3-AS1	5
ATP5MC2	5
BAALC-AS1	5
BASP1	5
C1QTNF7-AS1	5
CASTOR3P	5
CCDC144NL-AS1	5
CCDC28A-AS1	5
CDC42BPA	5
CFAP418-AS1	5
CHMP1B2P	5
CHST11	5
COL6A5	5
COP1-DT	5
COX7A2L	5
CROCC	5
CSPG4P13	5
CSTF3-DT	5
CTDNEP1	5
CYP2C23P	5
DHCR24-DT	5
DIO2-AS1	5
DLEU1	5
DMGDH	5
DMXL1-DT	5
DNAAF1	5
DNPEP	5
DSEL-AS1	5
DUX4L1	5
DYDC1	5
E2F4	5
ECI1	5
EDIL3-DT	5
EFCAB13-DT	5
ELOA	5
ELOA-AS1	5
EMBP1	5
ENPEP	5
EPHA5-AS1	5
ERAS	5
ERCC2	5
ERCC4	5
EXOC6	5
FGF21	5
FILNC1	5
FMO1-AS1	5
FOXP4-AS1	5
FRG1-DT	5
FRG1HP	5
FRG1JP	5
FUT3	5
GCNT3	5
GPR84-AS1	5
GSTA11P	5
GTF2IP5	5
HLA-DRB1	5
HNF1A-AS1	5
IFITM2	5
IGLV1-51	5
INTS6-AS1	5
IQCF5	5
JAGN1	5
KC6	5
KCNE4	5
KMT2E-AS1	5
KRTAP5-3	5
LAMB2P1	5
LCN1P1	5
LINC00159	5
LINC00210	5
LINC00301	5
LINC00472	5
LINC00524	5
LINC00648	5
LINC00865	5
LINC01031	5
LINC01090	5
LINC01098	5
LINC01169	5
LINC01182	5
LINC01226	5
LINC01257	5
LINC01277	5
LINC01378	5
LINC01473	5
LINC01492	5
LINC01515	5
LINC01541	5
LINC01643	5
LINC01702	5
LINC01716	5
LINC01755	5
LINC01885	5
LINC01895	5
LINC01923	5
LINC02045	5
LINC02112	5
LINC02125	5
LINC02133	5
LINC02237	5
LINC02253	5
LINC02277	5
LINC02508	5
LINC02511	5
LINC02518	5
LINC02693	5
LINC02694	5
LINC02751	5
LINC02895	5
LINC02931	5
LINC02964	5
LINC02994	5
LINC03062	5
LINC03076	5
LINC03140	5
LITATS1	5
LNCTSI	5
LSAMP	5
LYPLAL1-DT	5
MACF1	5
MAPK8IP2	5
MIR193BHG	5
MIR3142HG	5
MIR3659HG	5
NCKIPSD	5
NDUFAF6	5
NEPRO-AS1	5
NFYCP1	5
NIBAN2	5
NPHP3-AS1	5
NRAD1	5
OLMALINC	5
OXT	5
PANTR1	5
PARP4P1	5
PAUPAR	5
PDE4A	5
PDYN-AS1	5
PGAP6	5
PIK3R5-DT	5
PIWIL4-AS1	5
PKN2-AS1	5
PLPP7	5
POLR2E	5
PRSS1	5
PTH2R	5
PTMAP3	5
PXMP4	5
