gene_symbol	n_variants
AP3D1	2
HCN2	2
PEX1	2
RSF1	2
SETBP1	2
TNRC6A	2
ACACB	1
ACSM2A	1
ACSM4	1
AFDN	1
AGA	1
AKR7A2	1
AP4M1	1
ATP13A2	1
BORCS5	1
COX5B	1
CUX2	1
DHRS2	1
DIP2C	1
DNAJC30	1
EHHADH	1
GCAT	1
GLDC	1
IDI1	1
IFIH1	1
IMMT	1
KCNJ11	1
KDM4B	1
KMO	1
KMT2C	1
LNPK	1
LSS	1
MCL1	1
MRPL38	1
MRPL39	1
MRPL4	1
MRPL45	1
MRPS34	1
MSL2	1
MTOR	1
NRDC	1
OSBPL1A	1
PIK3C2B	1
PRMT7	1
PTCD3	1
PTPN23	1
RBL2	1
RERE	1
REXO2	1
RTTN	1
SEPTIN4	1
SLC25A41	1
SPG7	1
SPTBN4	1
TIMM44	1
TRMT10C	1
UFSP2	1
UNC79	1
ZNF335	1
