gene_symbol	n_variants
NO_GENE_SYMBOL	9283
DUX4L19	246
DUX4L18	228
DUX4L17	196
DUX4L16	187
LINC01667	58
PABPC1P5	51
FRG2C	48
SLC9B1P1	41
Y_RNA	33
HLA-DRB6	32
ROCK1P1	30
LINC01320	29
FAM8A4P	26
PRAMEF33	26
DUX4L4	25
PRAMEF6	24
DNM1P47	22
LINC02449	21
MUC6	21
DUX4L34	19
DUX4L8	19
FRG2	19
MUC3A	19
PRAMEF1	19
PRR13P4	19
CDRT15P10	18
MUC4	18
FAM230C	17
HLA-DRB5	17
LINC01340	17
SDHAP3	17
IGHV2-70D	16
LINC00595	16
PRAMEF12	16
BAIAP2	15
LINC02148	15
NRXN1-DT	15
CDC27P2	14
LILRB1	14
LILRB2	14
LINC00299	14
LINC01435	14
LINC01830	14
RHPN2P1	14
SNRPG	14
CDC27P1	13
FAM8A1	13
FRG1BP	13
GTF2IRD1P1	13
LINC01322	13
LINC02055	13
LINC02113	13
LINC02208	13
PTCHD1-AS	13
RBFOX1	13
BAGE2	12
C17ORF50	12
IGHV3-20	12
INTS4P1	12
KIR2DL3	12
LINC01414	12
CHEK2P1	11
CMAHP	11
DAB1	11
EGLN3	11
FAM27E3	11
HLA-DRB1	11
LINC02572	11
METAZOA_SRP	11
MIR3681HG	11
PWRN1	11
EPIC1	10
FRG1HP	10
IL12A-AS1	10
LINC01060	10
LINC01500	10
LINC01754	10
LINC01927	10
LINC02885	10
LINC03006	10
LINC03036	10
MGC4859	10
MIR99AHG	10
MUC22	10
PRAMEF20	10
SOX2-OT	10
SPRY4-AS1	10
CASC15	9
CCNY-AS1	9
CIMIP3	9
CTBP2P1	9
FAM86B1	9
FAM8A2P	9
FTX	9
LRIG2-DT	9
LY6S-AS1	9
MUC16	9
PARP4P1	9
PRAMEF10	9
PRSS3P1	9
RABGEF1P1	9
SDHAP1	9
SGO1-AS1	9
SLC9B1P4	9
TRBV7-7	9
TUBB8B	9
XACT	9
ANKRD36BP2	8
CCDC144NL-AS1	8
DDT	8
EIF1P5	8
FAM182B	8
GTF2IP5	8
GXYLT1P2	8
HRNR	8
HYDIN2	8
IGHV1-2	8
LILRA4	8
LINC00402	8
LINC00472	8
LINC00882	8
LINC00908	8
LINC01182	8
LINC02177	8
LINC02646	8
LINC03000	8
LINC03021	8
LIPE-AS1	8
LIX1-AS1	8
LNC-LBCS	8
LOHAN2	8
MUC2	8
MYOSLID-AS1	8
PARP4P2	8
PGM5P2	8
PRANCR	8
SNHG27	8
TNRC6A	8
TRBV5-7	8
TRBV6-6	8
TRPM3	8
ZNF57	8
AGRN	7
COP1-DT	7
DPY19L1P1	7
FLJ40194	7
HELZ-AS1	7
ITGB1-DT	7
KMT2E-AS1	7
LINC01079	7
LINC01588	7
LINC01702	7
LINC02664	7
LINC02937	7
LINC02994	7
LINC03076	7
MAILR	7
MAP4K3-DT	7
MCCD1	7
MCPH1-DT	7
MIR548A1HG	7
MTND1P20	7
NRM	7
OLAH	7
OR6C7P	7
PABPC3	7
RFLNA	7
RNU6-70P	7
RPL21P13	7
SLC16A1-AS1	7
TM4SF1	7
TRBV7-4	7
TRBV7-6	7
TULP4	7
UNC93B8	7
VOPP1	7
WARS2-AS1	7
ZNF878	7
ALG1L6P	6
ANAPC1P4	6
ANKRD30BL	6
ANKRD62	6
ARAP3	6
B3GALT5-AS1	6
C4A	6
CAST	6
CDC27P3	6
CLEC2B	6
DSEL-AS1	6
FAM230H	6
FAM27C	6
FAM90A1	6
FLG	6
HAS2-AS1	6
HLA-C	6
HLA-E	6
IGHV4-28	6
KIR2DP1	6
LINC-PINT	6
LINC00273	6
LINC00578	6
LINC00581	6
LINC00609	6
LINC00632	6
LINC01399	6
LINC01900	6
LINC01968	6
LINC01982	6
LINC02006	6
LINC02073	6
LINC02324	6
LINC02613	6
LINC02715	6
LINC02882	6
LINP1	6
LIPJ	6
LITATS1	6
LRIG3-DT	6
MAD2L1-DT	6
MDC1	6
MEF2C-AS1	6
MIATNB	6
MXRA5Y	6
NAALADL2	6
NDST1-AS1	6
NPSR1-AS1	6
NRBP2	6
POLR2J4	6
PPP1R26-AS1	6
PRAMEF14	6
PRAMEF31P	6
PSMD14-DT	6
RAP2C-AS1	6
RASGEF1B	6
RNU6-1335P	6
SEC14L6	6
SLC35A3	6
SUN1	6
USP2-AS1	6
VWFP1	6
ZNF33CP	6
ABCA17P	5
ARRDC2	5
AVPR2	5
C1QTNF7-AS1	5
CCDC26	5
CCDST	5
CGB5	5
CIBAR1-DT	5
CICP4	5
CICP8	5
CLCNKA	5
CNN2P6	5
CROCCP2	5
CYP24A1	5
DDX12B	5
DISC1FP1	5
DUX4	5
ENTPD1-AS1	5
ETNK2	5
FAM230G	5
FAM25C	5
FAM86B3P	5
FIRRE	5
GACAT3	5
GNAO1-DT	5
GSDMD	5
H2AZ1-DT	5
HIVEP3	5
HLA-DQB2	5
HLA-H	5
HULC	5
IGHV1-45	5
IL12B-AS1	5
ING5	5
IP6K2	5
KIAA1671	5
LINC00115	5
LINC00159	5
LINC00276	5
LINC00310	5
LINC00378	5
LINC00393	5
LINC00648	5
LINC00865	5
LINC00934	5
LINC00944	5
LINC00973	5
LINC01036	5
LINC01090	5
LINC01117	5
LINC01122	5
LINC01237	5
LINC01376	5
LINC01416	5
LINC01426	5
LINC01524	5
LINC01597	5
LINC01827	5
LINC01933	5
LINC02147	5
LINC02223	5
LINC02240	5
LINC02241	5
LINC02336	5
LINC02337	5
LINC02458	5
LINC02745	5
LINC02840	5
LINC02934	5
LINC02964	5
LMNTD2	5
LNCTSI	5
LRRC37A17P	5
LY86-AS1	5
MEG8	5
MFSD14CP	5
MIR325HG	5
MIR3667HG	5
MIR646HG	5
MIR924HG	5
MUC20-OT1	5
NALCN-AS1	5
NDUFA12	5
NIHCOLE	5
NOP14	5
NTN3	5
OBI1-AS1	5
OR6B2	5
PABPC1	5
PANTR1	5
PDPR2P	5
PGAM1P5	5
PGAP6	5
PLA2G10DP	5
PLEC	5
PLEKHG1	5
POM121L9P	5
PPM1B-DT	5
PPP1R18	5
PRAMEF17	5
PRSS3	5
RABGEF1P2	5
RASA4CP	5
RFPL1S	5
RGS2-AS1	5
RN7SKP65	5
RNA5-8SP6	5
RNF38	5
RPS3AP50	5
RRS1-DT	5
RTCA-AS1	5
SBDS	5
SCAF8	5
SNRPA1P1	5
SOX9-AS1	5
SPEN-AS1	5
SPESP1	5
STAG2	5
STAG3L4	5
SUMF1	5
TESC-AS1	5
TRPM4	5
U3	5
UBL7-DT	5
UNC93B5	5
VIRMA-DT	5
VPS51P11	5
VPS51P2	5
VSTM2B-DT	5
WASH7P	5
ZNF467	5
ZNF652-AS1	5
ZNF771	5
ZNF815P	5
ZNF85	5
ZSCAN22	5
ZSWIM5	5
ABCA7	4
ACTP1	4
ACTR3-AS1	4
ACTR3BP1	4
ADAMTS9-AS2	4
AFF4-DT	4
AGAP14P	4
ANKRD30B	4
ASH2LP4	4
ASL	4
ATP8B1-AS1	4
B3GAT1-DT	4
BASP1-AS1	4
BSX	4
C2ORF68	4
CAV2-DT	4
CCDC66	4
CCNE1	4
CD209	4
CDK12	4
CHRND	4
CLEC18B	4
CLSPN-DT	4
CNIH3	4
COX10-DT	4
CPNE7	4
CRYBB2P1	4
CTSH	4
DANT2	4
DHCR24-DT	4
DNAJC27-AS1	4
DOCK9	4
DPY19L2P2	4
DRAIC	4
DSCR4	4
DUBR	4
DYNLRB2-AS1	4
ECI1	4
EIF4EBP1	4
EMCN	4
ESPNP	4
FAM238C	4
FAM66A	4
FAM86C1P	4
FGF18	4
FRG1JP	4
GGT6	4
GINS3	4
GOLGA6L10	4
GOLGA8DP	4
GOLGA8M	4
GUSBP1	4
HCN3	4
HCST	4
HEXIM2	4
HLA-DQA1	4
HLA-DQB1	4
HNRNPL	4
HRG-AS1	4
IGHG2	4
IGHV1-14	4
IGHV1-46	4
IGHV3-33	4
INIP	4
IRAIN	4
KANTR	4
KC6	4
KCNE4	4
KCNJ12	4
KCNS3	4
KPNB1-DT	4
KRT42P	4
LDOC1	4
LHX1-DT	4
LINC00506	4
LINC00536	4
LINC00857	4
LINC01013	4
LINC01055	4
LINC01088	4
LINC01091	4
LINC01115	4
LINC01150	4
LINC01285	4
LINC01409	4
LINC01410	4
LINC01456	4
LINC01482	4
LINC01508	4
LINC01515	4
LINC01562	4
LINC01634	4
LINC01644	4
LINC01684	4
LINC01687	4
LINC01716	4
LINC01725	4
LINC01789	4
LINC01836	4
LINC01911	4
LINC01934	4
LINC01999	4
LINC02018	4
LINC02101	4
LINC02109	4
LINC02125	4
LINC02145	4
LINC02196	4
LINC02226	4
LINC02267	4
LINC02356	4
LINC02550	4
LINC02580	4
LINC02604	4
LINC02693	4
LINC02698	4
LINC02733	4
LINC02761	4
LINC02899	4
LINC02945	4
LINC02955	4
LINC03142	4
LRTM2	4
LUCAT1	4
MAP1LC3C	4
MARCHF10-DT	4
MCL1	4
MDS2	4
MIR4300HG	4
MIR4435-2HG	4
MRPS30-DT	4
MUC21	4
NBPF17P	4
NDEL1	4
NDUFA6-DT	4
NECTIN1-DT	4
NES	4
NPEPPSP1	4
NR2F2-AS1	4
NSMCE1-DT	4
NUMBL	4
OR9G1	4
PABPC5-AS1	4
PARAIL	4
PDE4DIPP2	4
PER1	4
PFAS	4
PGLYRP3	4
PI4KA	4
PIK3IP1-DT	4
PKD1P2	4
PKN2-AS1	4
PLCL1	4
POTEH	4
PPIAP31	4
PPL	4
PPP1R12A-AS2	4
PPP1R1C	4
PRAMEF7	4
PRSS2	4
PSMC6	4
PSMD7-DT	4
PSORS1C2	4
PTCSC3	4
RELL2	4
RMST	4
RN7SL70P	4
RNU6-362P	4
RPL11P5	4
RRM2	4
RRM2B	4
RRN3P2	4
RUNX1	4
SASH1	4
SATB1-AS1	4
SCGB1C1	4
SCP2	4
SCT	4
SDF2	4
SEC14L4	4
SEM1	4
SH2D2A	4
SH2D5	4
SIRT7	4
SLC38A4-AS1	4
SNHG14	4
SNHG16	4
SNHG20	4
SOX5	4
SRGAP2C	4
SSPOP	4
ST7-AS2	4
STXBP5-AS1	4
SYNPR	4
TBC1D3P6	4
TESHL	4
TIGAR	4
TLE1-DT	4
TMEM220-AS1	4
TMEM82	4
TRAPPC6A	4
TRIP4	4
TTC5	4
TUBA1B-AS1	4
TUBB7P	4
UBE2H-DT	4
UBE2Q2P1	4
UQCRHL	4
VLDLR-AS1	4
XXYLT1	4
ZMIZ1-AS1	4
ZNF295-AS1	4
ZNF788P	4
ZNF844	4
ZNF98	4
ACTB	3
ADPGK-AS1	3
AGA-DT	3
AJUBA	3
ALKBH1	3
ALOX5AP	3
AMD1	3
ANAPC1P2	3
ANKEF1	3
AP1S3	3
AP2A1	3
AP3D1	3
ARFGEF1-DT	3
ARHGAP29-AS1	3
ARHGDIG	3
ARHGEF2-AS1	3
ARMT1	3
ASB3	3
ASB9P1	3
ATG4D	3
ATP8A2P3	3
BANCR	3
BDNF-AS	3
BECN2	3
BEND6	3
BGLAP	3
BLOC1S3	3
BRWD1P1	3
C12ORF42	3
C2	3
C2ORF42	3
C3P1	3
C4B	3
C6ORF58	3
CALM2P1	3
CALR	3
CASC19	3
CASC9	3
CASTOR3P	3
CCDC158	3
CCDC194	3
CCDC90B-AS1	3
CCT6P3	3
CD37	3
CD70	3
CDC14C	3
CDK5R2-AS1	3
CEACAM22P	3
CEP170P1	3
CFAP418-AS1	3
CFLAR	3
CHD1-DT	3
CHD5	3
CIBAR2	3
CICP11	3
CLDN10-AS1	3
COL14A1	3
COPS9	3
CORO1A	3
COX4I1	3
COX5A	3
CPPED1	3
CROCCP3	3
CRYGC	3
CTDP1-DT	3
CYP2D8P	3
CYP2S1	3
CYP4F29P	3
DEFB122	3
DELEC1	3
DHX16	3
DHX34	3
DLX2-DT	3
DLX4	3
DNAH3	3
DNAJC27	3
DNHD1	3
DPH6-DT	3
DPPA4	3
DUX4L37	3
DVL3	3
DYNLL1	3
DYNLT2	3
E2F4	3
EBP	3
ECEL1P2	3
EDC3	3
EIF3E	3
EIF4A2P1	3
ELAVL1	3
ELOA-AS1	3
EPB41L4A	3
EPB41L5	3
EPCAM-DT	3
EPCIP-AS1	3
ERRFI1-DT	3
ERVH-1	3
EXOSC2	3
F11	3
FABP6-AS1	3
FAM153CP	3
FAM174A-DT	3
FAM200A	3
FAM230E	3
FAM86KP	3
FAM90A27P	3
FANCA	3
FBLIM1	3
FBXW5	3
FCGBP	3
FERMT2	3
FGGY-DT	3
FITM1	3
FRG1-DT	3
FRMD6-AS2	3
FSCN1	3
FSTL3	3
FTH1P6	3
GABBR1	3
GADD45GIP1	3
GAPVD1	3
GATA6-AS1	3
GATC	3
GIGYF1	3
GMDS-DT	3
GNB1L	3
GOLGA6L2	3
GOLGA8CP	3
GPAT4-AS1	3
GPBP1L1	3
GREB1L-DT	3
GRM5P1	3
GSR	3
GTF2I-AS1	3
GZMH-AS1	3
H4C11	3
HCCS-DT	3
HERC2P3	3
HMGA1P4	3
HMGCL	3
HPDL	3
HPYR1	3
HRAS	3
HSPA2	3
HSPB1	3
HUS1	3
IER5L-AS1	3
IGHD3-3	3
IGHV1-69	3
IL17RE	3
IL9RP4	3
INTS13	3
ITPKA	3
KAZN-AS1	3
KCNH5	3
KCNK15-AS1	3
KCTD21-AS1	3
KDM4C	3
KIAA1586	3
