functional_impact	priority_tier	validation_required	n
missense	tier_2_moderate_candidate	True	599
splice_relevant	tier_3_low_support_or_common	False	103
missense	tier_3_low_support_or_common	False	93
loss_of_function	tier_2_moderate_candidate	True	52
splice_relevant	tier_4_uninterpretable_or_qc_limited	False	9
missense	tier_4_uninterpretable_or_qc_limited	False	5
loss_of_function	tier_3_low_support_or_common	False	3
loss_of_function	tier_1_high_confidence_candidate	True	2
