source_interpretation_label	count
noncoding_common_or_low_support	514098
noncoding_uninterpretable	115344
coding_common_or_low_support	24892
regulatory_or_transcript_rare	22382
lof_or_missense_rare	1225
coding_uninterpretable	437
lof_rare_clinically_supported	1
