consequence	count
intron_variant	293608
intron_variant&non_coding_transcript_variant	126303
intergenic_variant	105028
upstream_gene_variant	51468
downstream_gene_variant	45797
non_coding_transcript_exon_variant	15992
synonymous_variant	11802
missense_variant	11453
3_prime_UTR_variant	8927
5_prime_UTR_variant	2750
splice_polypyrimidine_tract_variant&intron_variant	2272
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1346
intron_variant&NMD_transcript_variant	1063
splice_region_variant&intron_variant	454
splice_donor_region_variant&intron_variant	379
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	272
frameshift_variant	259
splice_region_variant&synonymous_variant	250
inframe_deletion	236
missense_variant&splice_region_variant	234
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	195
splice_region_variant&non_coding_transcript_exon_variant	172
inframe_insertion	159
stop_gained	94
splice_donor_5th_base_variant&intron_variant	91
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	87
splice_region_variant&intron_variant&non_coding_transcript_variant	48
splice_donor_variant	37
splice_donor_variant&non_coding_transcript_variant	35
splice_acceptor_variant&non_coding_transcript_variant	28
splice_acceptor_variant	24
splice_region_variant&5_prime_UTR_variant	24
3_prime_UTR_variant&NMD_transcript_variant	22
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	22
stop_lost	21
stop_retained_variant	11
start_lost	9
frameshift_variant&splice_region_variant	6
mature_miRNA_variant	6
frameshift_variant&stop_lost	4
inframe_insertion&stop_retained_variant	4
splice_region_variant&3_prime_UTR_variant	4
splice_region_variant&non_coding_transcript_variant	4
stop_gained&frameshift_variant	4
frameshift_variant&splice_donor_region_variant	3
frameshift_variant&start_lost&start_retained_variant	3
protein_altering_variant	3
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	3
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	3
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	3
5_prime_UTR_variant&NMD_transcript_variant	2
coding_sequence_variant	2
missense_variant&NMD_transcript_variant	2
splice_acceptor_variant&coding_sequence_variant&intron_variant	2
splice_donor_variant&splice_donor_region_variant&intron_variant	2
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	2
start_lost&start_retained_variant	2
stop_retained_variant&3_prime_UTR_variant	2
frameshift_variant&splice_region_variant&intron_variant	1
incomplete_terminal_codon_variant&coding_sequence_variant	1
inframe_deletion&splice_region_variant	1
inframe_insertion&splice_region_variant	1
splice_acceptor_variant&5_prime_UTR_variant	1
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
start_lost&splice_region_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_gained&splice_region_variant	1
stop_lost&splice_region_variant	1
