source_interpretation_label	count
noncoding_common_or_low_support	513336
noncoding_uninterpretable	116727
coding_common_or_low_support	25299
regulatory_or_transcript_rare	24043
lof_or_missense_rare	1237
coding_uninterpretable	409
lof_rare_clinically_supported	3
