source_interpretation_label	count
noncoding_common_or_low_support	642368
noncoding_uninterpretable	149123
regulatory_or_transcript_rare	29867
coding_common_or_low_support	26297
lof_or_missense_rare	1272
coding_uninterpretable	471
lof_rare_clinically_supported	1
