consequence	count
intron_variant	363982
intron_variant&non_coding_transcript_variant	162707
intergenic_variant	135092
upstream_gene_variant	65419
downstream_gene_variant	57363
non_coding_transcript_exon_variant	18117
synonymous_variant	12328
missense_variant	11836
3_prime_UTR_variant	10846
5_prime_UTR_variant	3158
splice_polypyrimidine_tract_variant&intron_variant	2378
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1443
intron_variant&NMD_transcript_variant	1329
splice_region_variant&intron_variant	476
splice_donor_region_variant&intron_variant	385
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	281
splice_region_variant&synonymous_variant	272
missense_variant&splice_region_variant	250
frameshift_variant	239
inframe_deletion	237
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	225
splice_region_variant&non_coding_transcript_exon_variant	178
inframe_insertion	172
splice_donor_5th_base_variant&intron_variant	108
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	100
stop_gained	88
splice_region_variant&intron_variant&non_coding_transcript_variant	51
splice_donor_variant&non_coding_transcript_variant	42
3_prime_UTR_variant&NMD_transcript_variant	35
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	30
splice_acceptor_variant&non_coding_transcript_variant	28
splice_acceptor_variant	27
splice_donor_variant	24
splice_region_variant&5_prime_UTR_variant	23
stop_lost	18
start_lost	14
stop_retained_variant	11
frameshift_variant&splice_region_variant	10
mature_miRNA_variant	10
inframe_insertion&stop_retained_variant	5
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	4
splice_region_variant&3_prime_UTR_variant	4
frameshift_variant&splice_donor_region_variant	3
frameshift_variant&start_lost&start_retained_variant	3
frameshift_variant&stop_lost	3
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	3
splice_region_variant&non_coding_transcript_variant	3
stop_gained&frameshift_variant	3
stop_retained_variant&3_prime_UTR_variant	3
coding_sequence_variant	2
missense_variant&NMD_transcript_variant	2
protein_altering_variant	2
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	2
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	2
splice_donor_variant&splice_donor_region_variant&intron_variant	2
start_lost&start_retained_variant	2
frameshift_variant&splice_region_variant&intron_variant	1
incomplete_terminal_codon_variant&coding_sequence_variant	1
inframe_deletion&splice_region_variant	1
inframe_insertion&splice_region_variant	1
splice_acceptor_variant&coding_sequence_variant&intron_variant	1
splice_acceptor_variant&frameshift_variant	1
splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
start_lost&splice_region_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_gained&protein_altering_variant	1
stop_gained&splice_region_variant	1
stop_lost&splice_region_variant	1
