source_interpretation_label	count
noncoding_common_or_low_support	512578
noncoding_uninterpretable	112607
coding_common_or_low_support	24735
regulatory_or_transcript_rare	23137
lof_or_missense_rare	1084
coding_uninterpretable	450
lof_rare_clinically_supported	2
