functional_impact	priority_tier	validation_required	n
missense	tier_2_moderate_candidate	True	623
missense	tier_3_low_support_or_common	False	96
splice_relevant	tier_3_low_support_or_common	False	88
loss_of_function	tier_2_moderate_candidate	True	45
splice_relevant	tier_4_uninterpretable_or_qc_limited	False	13
missense	tier_4_uninterpretable_or_qc_limited	False	11
loss_of_function	tier_3_low_support_or_common	False	3
loss_of_function	tier_1_high_confidence_candidate	True	2
loss_of_function	tier_4_uninterpretable_or_qc_limited	False	2
