source_interpretation_label	count
noncoding_common_or_low_support	556082
noncoding_uninterpretable	127903
regulatory_or_transcript_rare	26044
coding_common_or_low_support	24855
lof_or_missense_rare	1148
coding_uninterpretable	432
lof_rare_clinically_supported	4
