consequence	count
intron_variant	315201
intron_variant&non_coding_transcript_variant	139754
intergenic_variant	115823
upstream_gene_variant	57044
downstream_gene_variant	49795
non_coding_transcript_exon_variant	16084
synonymous_variant	11705
missense_variant	11130
3_prime_UTR_variant	9235
5_prime_UTR_variant	2821
splice_polypyrimidine_tract_variant&intron_variant	2243
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1378
intron_variant&NMD_transcript_variant	1134
splice_region_variant&intron_variant	458
splice_donor_region_variant&intron_variant	360
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	274
missense_variant&splice_region_variant	244
splice_region_variant&synonymous_variant	239
frameshift_variant	205
inframe_deletion	202
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	198
splice_region_variant&non_coding_transcript_exon_variant	164
inframe_insertion	163
splice_donor_5th_base_variant&intron_variant	104
stop_gained	85
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	81
splice_region_variant&intron_variant&non_coding_transcript_variant	47
splice_acceptor_variant&non_coding_transcript_variant	31
splice_donor_variant&non_coding_transcript_variant	30
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	28
splice_region_variant&5_prime_UTR_variant	25
3_prime_UTR_variant&NMD_transcript_variant	23
splice_acceptor_variant	22
splice_donor_variant	21
stop_lost	19
start_lost	13
stop_retained_variant	13
mature_miRNA_variant	6
inframe_insertion&stop_retained_variant	5
frameshift_variant&start_lost&start_retained_variant	4
splice_region_variant&3_prime_UTR_variant	4
frameshift_variant&splice_donor_region_variant	3
frameshift_variant&splice_region_variant	3
frameshift_variant&stop_lost	3
protein_altering_variant	3
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	3
coding_sequence_variant	2
incomplete_terminal_codon_variant&coding_sequence_variant	2
inframe_deletion&splice_region_variant	2
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant	2
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	2
splice_donor_variant&splice_donor_5th_base_variant&intron_variant	2
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	2
splice_donor_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	2
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	2
splice_region_variant&non_coding_transcript_variant	2
start_lost&start_retained_variant	2
stop_gained&frameshift_variant	2
frameshift_variant&start_retained_variant	1
missense_variant&NMD_transcript_variant	1
splice_acceptor_variant&5_prime_UTR_variant	1
splice_acceptor_variant&frameshift_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
start_lost&inframe_deletion&start_retained_variant	1
start_lost&splice_region_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_gained&frameshift_variant&splice_region_variant	1
stop_gained&splice_region_variant	1
stop_retained_variant&3_prime_UTR_variant	1
