gene_symbol	n_variants
NBAS	143
OSBPL10	143
PABPC1P5	143
SORCS3	143
SUPT3H	143
TPTE2	143
GAS7	142
LINC00882	142
PKD1L3	142
PRKCE	142
SLC35F3	142
CELSR1	141
GLDC	141
LINC03138	141
MCF2L	141
PCSK5	141
PLB1	141
SNTG1	141
UBE2E2	141
ETFA	140
FARS2	140
FRY	140
MIR99AHG	140
MSI2	140
MUC6	140
PHACTR4	140
XYLT1	140
APBB2	139
DYSF	139
MCPH1-DT	139
PLEKHA5	139
ROR2	139
SGCG	139
XKR6	139
CACNA1D	138
EIPR1	138
LINC01435	138
MTUS1	138
PKHD1	138
PVT1	138
TPO	138
ADGRD1	137
BAZ2B	137
CATSPERB	137
CNOT1	137
EPIC1	137
FAM135B	137
LRBA	137
MIR3667HG	137
RASGEF1C	137
USH2A	137
CLSTN2	136
CLYBL	136
LHPP	136
LYST	136
NFIC	136
PRSS2	136
TTC6	136
TTLL5	136
FGD4	135
LINC00973	135
MROH1	135
NRCAM	135
SOX5	135
TAFA2	135
USP34	135
ZDHHC14	135
FRG1HP	134
LINC02737	134
MAML3	134
MOV10L1	134
NKAIN3	134
PALM2AKAP2	134
SGO1-AS1	134
SLC35F4	134
ATP8B1	133
BABAM2	133
C12ORF56	133
EIF4G3	133
MSRA	133
PCCA	133
SEMA5A	133
USP2-AS1	133
FMN1	132
GRM8	132
LINC01524	132
MBD5	132
NRXN1	132
TMTC2	132
UBR3	132
AP2A2	131
ARL15	131
B3GNTL1	131
CNR2	131
CNTNAP5	131
COL4A1	131
DNAH5	131
DOCK2	131
FLT3	131
LINC00871	131
MYO1D	131
TRIO	131
COX10-DT	130
ESRRG	130
GRIK4	130
LAMA1	130
MAST2	130
SPOCK3	130
TEKT4P2	130
ACER3	129
AFF3	129
CRACD	129
DNAH8	129
FAM13A	129
LINC01090	129
LINC03142	129
OBSCN	129
RSRC1	129
SCUBE1	129
SH3PXD2A	129
SH3RF3	129
ADK	128
ANAPC1	128
CHST11	128
ENOX1	128
HECW2	128
LINC01036	128
LINC02240	128
SLIT3	128
SMOC2	128
TXNRD1	128
WDFY4	128
AEBP2	127
ARID4B	127
ATXN2	127
HDAC4	127
HERC2	127
KCNJ12	127
KIF13A	127
LINC02018	127
MICAL3	127
PRKAR1B	127
STIM1	127
ZNF423	127
AOPEP	126
ATP2B2	126
CFAP61	126
DOP1B	126
HIVEP3	126
MTHFD1L	126
OTOGL	126
PCBP3	126
RPSA2	126
STXBP5L	126
TTC3	126
ADCY9	125
ARHGAP24	125
ARHGAP42	125
DSCAML1	125
GRAMD4	125
INPP5D	125
LINC01500	125
NEGR1	125
NOS1	125
POU6F2	125
RFLNA	125
RNU6-912P	125
XKR4	125
ANKFN1	124
AXDND1	124
BMPR1B	124
CECR2	124
GLG1	124
LRRK2	124
MDGA2	124
NBPF12	124
POT1-AS1	124
SLC9C1	124
SMG6	124
SYNJ2	124
VPS13B	124
VRK3	124
ABLIM2	123
ANO1	123
CTIF	123
F11-AS1	123
FNBP1	123
LAMA5	123
LINC01182	123
LINC02006	123
SCFD2	123
TBC1D5	123
TSHZ2	123
TTC28	123
UMAD1	123
VWF	123
ATG7	122
BANK1	122
CNTLN	122
CSGALNACT1	122
GABRB3	122
OBI1-AS1	122
PCSK6	122
PREX1	122
ADGRE1	121
ANK2	121
COL11A1	121
EDARADD	121
EVC	121
GRID2	121
JAKMIP3	121
MSH2	121
ZNF492	121
AKAP6	120
BDP1	120
LARP1B	120
LINC01169	120
LMF1	120
MGAM	120
PTPN14	120
SMG1	120
ZNF804B	120
AK9	119
ALG1L2	119
HERC2P3	119
IGSF21	119
LINC00595	119
MEGF6	119
PDIA6	119
RNF150	119
SHISA6	119
ARHGEF10	118
CELA3B	118
DENND1A	118
FRMD3	118
GALNT13	118
GRK5	118
HECW1	118
IGF1R	118
MYO5A	118
OSBPL5	118
PADI4	118
SHISA9	118
SLC12A7	118
SUCLA2	118
TTC7B	118
ADCY2	117
CENPP	117
COL4A3	117
DMRT1	117
DNER	117
GLI2	117
HMCN2	117
LINC-PINT	117
NEDD4L	117
NGEF	117
PFKP	117
SEMA3E	117
CEP128	116
CRYBG1	116
CTNNA1	116
CYP4F12	116
GSG1L	116
HS3ST4	116
LTBP1	116
MIPOL1	116
MYOM2	116
RFX8	116
SRGAP1	116
ZBTB7C	116
ZMIZ1	116
ASIC2	115
BICC1	115
CFDP1	115
CLVS1	115
DOK6	115
MYO1E	115
NALCN	115
NF1	115
PI4KA	115
SENP7	115
ST3GAL3	115
TAOK1	115
ABCA12	114
ARHGAP10	114
ARHGEF3	114
ESYT2	114
FBXL17	114
GRAMD1B	114
HPCAL1	114
ITGA8	114
LINC01418	114
MAML2	114
MYO7A	114
NEB	114
NLGN1	114
OSBP2	114
PDSS2	114
PLCL1	114
SRGAP3	114
TEK	114
TNS3	114
WDPCP	114
ZMAT4	114
ARHGAP22	113
CADPS	113
CFAP54	113
CHRM3	113
MAST4	113
MEAK7	113
PIGN	113
PTK2	113
TMEM117	113
TRDN	113
CFAP70	112
CLASP1	112
DLG5	112
FBN2	112
GNAL	112
LMCD1-AS1	112
SH3D19	112
SLC38A9	112
SPRY4-AS1	112
SVOP	112
TBCD	112
ATE1	111
FGD6	111
KLHL29	111
LINC01517	111
MEI1	111
MUC20-OT1	111
PTPN13	111
RELN	111
SERINC5	111
SLC4A4	111
VPS53	111
ABCC1	110
ALDH1A2	110
BAIAP2L1	110
BTBD9	110
COP1	110
DCHS2	110
DENND2A	110
DPF3	110
DUX4L18	110
GALNT18	110
GREB1	110
HMCN1	110
IL12B-AS1	110
KCNQ5	110
LINC02182	110
NCKAP5	110
NFIA	110
RNA5SP528	110
SBNO1	110
SLC25A21	110
SLC9A3	110
TAFA1	110
TCF12	110
ADAMTS7	109
AGRN	109
DIP2B	109
FGGY	109
FRG1BP	109
HS6ST3	109
IL1RAPL1	109
IMMP2L	109
MIATNB	109
MUC17	109
NTAQ1	109
PCAT1	109
PKN2-AS1	109
SGCD	109
UBE2H	109
BRWD1	108
CACNA1E	108
CCDC88A	108
FAM230C	108
LNCTSI	108
NDUFA12	108
NLRP5	108
SCAPER	108
STK32C	108
USP20	108
C10ORF90	107
FTO	107
IDO2	107
LINC00378	107
NEK10	107
NFATC1	107
NUMB	107
PIKFYVE	107
PLXNA4	107
TJP2	107
WDR7	107
AP1S3	106
ASAP1	106
ATXN1	106
CIT	106
ESRRB	106
