run_id	status	column	old_value	new_value
run_2026_06_01_203130	updated	coding_candidates		24563
run_2026_06_01_203130	updated	noncoding_candidates		936295
run_2026_06_01_203130	updated	normalized_variant_count		966283
run_2026_06_01_203130	updated	qc_flagged		14443
run_2026_06_01_203130	updated	raw_variant_count		966283
run_2026_06_01_203130	updated	rdgp_gene_evidence_seed_rows		44020
run_2026_06_01_203130	updated	splice_region_candidates		3058
run_2026_06_01_203130	updated	stage08_total_variants		963426
run_2026_06_01_203130	updated	stage09_coding_interpreted		27131
run_2026_06_01_203130	updated	stage10_noncoding_interpreted		936295
run_2026_06_01_203130	updated	stage11_prioritized_rows		963426
run_2026_06_01_203130	updated	stage12_validation_rows		963426
run_2026_06_01_203130	updated	unique_gene_ids		44021
run_2026_06_02_052302	updated	annotated_variant_count		909698
run_2026_06_02_052302	updated	coding_candidates		23648
run_2026_06_02_052302	updated	noncoding_candidates		883594
run_2026_06_02_052302	updated	normalized_variant_count		912222
run_2026_06_02_052302	updated	qc_flagged		14125
run_2026_06_02_052302	updated	raw_variant_count		912222
run_2026_06_02_052302	updated	rdgp_gene_evidence_seed_rows		43400
run_2026_06_02_052302	updated	splice_region_candidates		2951
run_2026_06_02_052302	updated	stage08_total_variants		909698
run_2026_06_02_052302	updated	stage09_coding_interpreted		26104
run_2026_06_02_052302	updated	stage10_noncoding_interpreted		883594
run_2026_06_02_052302	updated	stage11_prioritized_rows		909698
run_2026_06_02_052302	updated	stage12_validation_rows		909698
run_2026_06_02_052302	updated	unique_gene_ids		43401
run_2026_06_02_124300	updated	annotated_variant_count		795059
run_2026_06_02_124300	updated	coding_candidates		24437
run_2026_06_02_124300	updated	noncoding_candidates		768137
run_2026_06_02_124300	updated	normalized_variant_count		797375
run_2026_06_02_124300	updated	qc_flagged		12615
run_2026_06_02_124300	updated	raw_variant_count		797375
run_2026_06_02_124300	updated	rdgp_gene_evidence_seed_rows		42738
run_2026_06_02_124300	updated	splice_region_candidates		3003
run_2026_06_02_124300	updated	stage08_total_variants		795059
run_2026_06_02_124300	updated	stage09_coding_interpreted		26922
run_2026_06_02_124300	updated	stage10_noncoding_interpreted		768137
run_2026_06_02_124300	updated	stage11_prioritized_rows		795059
run_2026_06_02_124300	updated	stage12_validation_rows		795059
run_2026_06_02_124300	updated	unique_gene_ids		42739
run_2026_06_02_181024	updated	annotated_variant_count		879401
run_2026_06_02_181024	updated	coding_candidates		23953
run_2026_06_02_181024	updated	noncoding_candidates		852953
run_2026_06_02_181024	updated	normalized_variant_count		881937
run_2026_06_02_181024	updated	qc_flagged		13609
run_2026_06_02_181024	updated	raw_variant_count		881937
run_2026_06_02_181024	updated	rdgp_gene_evidence_seed_rows		43429
run_2026_06_02_181024	updated	splice_region_candidates		2981
run_2026_06_02_181024	updated	stage08_total_variants		879401
run_2026_06_02_181024	updated	stage09_coding_interpreted		26448
run_2026_06_02_181024	updated	stage10_noncoding_interpreted		852953
run_2026_06_02_181024	updated	stage11_prioritized_rows		879401
run_2026_06_02_181024	updated	stage12_validation_rows		879401
run_2026_06_02_181024	updated	unique_gene_ids		43430
run_2026_06_03_010030	updated	annotated_variant_count		4636584
run_2026_06_03_010030	updated	coding_candidates		24278
run_2026_06_03_010030	updated	noncoding_candidates		4609098
run_2026_06_03_010030	updated	normalized_variant_count		4662494
run_2026_06_03_010030	updated	qc_flagged		44460
run_2026_06_03_010030	updated	raw_variant_count		4662494
run_2026_06_03_010030	updated	rdgp_gene_evidence_seed_rows		50230
run_2026_06_03_010030	updated	splice_region_candidates		3733
run_2026_06_03_010030	updated	stage08_total_variants		4636584
run_2026_06_03_010030	updated	stage09_coding_interpreted		27486
run_2026_06_03_010030	updated	stage10_noncoding_interpreted		4609098
run_2026_06_03_010030	updated	stage11_prioritized_rows		4636584
run_2026_06_03_010030	updated	stage12_validation_rows		4636584
run_2026_06_03_010030	updated	unique_gene_ids		50231
