sample_id	run_id	summary_axis	interpretation_label	count	status
ERR10619207	run_2026_06_01_124134	source_interpretation_label	lof_rare_clinically_supported	1	source_metric_present
ERR10619207	run_2026_06_01_124134	source_interpretation_label	noncoding_common_or_low_support	514098	source_metric_present
ERR10619207	run_2026_06_01_124134	source_interpretation_label	noncoding_uninterpretable	115344	source_metric_present
ERR10619207	run_2026_06_01_124134	source_interpretation_label	regulatory_or_transcript_rare	22382	source_metric_present
ERR10619207	run_2026_06_01_124134	variant_origin	coding	26555	source_metric_present
ERR10619207	run_2026_06_01_124134	variant_origin	noncoding	651824	source_metric_present
ERR10619330	run_2026_06_01_203130	source_interpretation_label	coding_common_or_low_support	25432	source_metric_present
ERR10619330	run_2026_06_01_203130	source_interpretation_label	coding_uninterpretable	500	source_metric_present
ERR10619330	run_2026_06_01_203130	source_interpretation_label	lof_or_missense_rare	1197	source_metric_present
ERR10619330	run_2026_06_01_203130	source_interpretation_label	lof_rare_clinically_supported	2	source_metric_present
ERR10619330	run_2026_06_01_203130	source_interpretation_label	noncoding_common_or_low_support	725798	source_metric_present
ERR10619330	run_2026_06_01_203130	source_interpretation_label	noncoding_uninterpretable	176946	source_metric_present
ERR10619330	run_2026_06_01_203130	source_interpretation_label	regulatory_or_transcript_rare	33551	source_metric_present
ERR10619330	run_2026_06_01_203130	variant_origin	coding	27131	source_metric_present
ERR10619330	run_2026_06_01_203130	variant_origin	noncoding	936295	source_metric_present
ERR10619241	run_2026_06_02_052302	source_interpretation_label	coding_common_or_low_support	24521	source_metric_present
ERR10619241	run_2026_06_02_052302	source_interpretation_label	coding_uninterpretable	493	source_metric_present
ERR10619241	run_2026_06_02_052302	source_interpretation_label	lof_or_missense_rare	1088	source_metric_present
ERR10619241	run_2026_06_02_052302	source_interpretation_label	lof_rare_clinically_supported	2	source_metric_present
ERR10619241	run_2026_06_02_052302	source_interpretation_label	noncoding_common_or_low_support	688531	source_metric_present
ERR10619241	run_2026_06_02_052302	source_interpretation_label	noncoding_uninterpretable	161786	source_metric_present
ERR10619241	run_2026_06_02_052302	source_interpretation_label	regulatory_or_transcript_rare	33277	source_metric_present
ERR10619241	run_2026_06_02_052302	variant_origin	coding	26104	source_metric_present
ERR10619241	run_2026_06_02_052302	variant_origin	noncoding	883594	source_metric_present
ERR10619285	run_2026_06_02_124300	source_interpretation_label	coding_common_or_low_support	25340	source_metric_present
