sample_id	run_id	depth_category	metric_name	metric	category	count	status
ERR10619285	run_2026_06_02_124300	median	counts_by_validation_priority__high	validation_priority	high	1	source_metric_present
ERR10619285	run_2026_06_02_124300	median	counts_by_validation_priority__low	validation_priority	low	765790	source_metric_present
ERR10619285	run_2026_06_02_124300	median	counts_by_validation_priority__medium	validation_priority	medium	29268	source_metric_present
ERR10619285	run_2026_06_02_124300	median	counts_by_suggested_validation_method__IGV	suggested_validation_method	IGV	29269	source_metric_present
ERR10619285	run_2026_06_02_124300	median	counts_by_suggested_validation_method__none	suggested_validation_method	none	765790	source_metric_present
ERR10619300	run_2026_05_27_172531	median	counts_by_validation_required__False	validation_required	False	709272	source_metric_present
ERR10619300	run_2026_05_27_172531	median	counts_by_validation_required__True	validation_required	True	27196	source_metric_present
ERR10619300	run_2026_05_27_172531	median	counts_by_validation_priority__high	validation_priority	high	4	source_metric_present
ERR10619300	run_2026_05_27_172531	median	counts_by_validation_priority__low	validation_priority	low	709272	source_metric_present
ERR10619300	run_2026_05_27_172531	median	counts_by_validation_priority__medium	validation_priority	medium	27192	source_metric_present
ERR10619300	run_2026_05_27_172531	median	counts_by_suggested_validation_method__IGV	suggested_validation_method	IGV	27196	source_metric_present
ERR10619300	run_2026_05_27_172531	median	counts_by_suggested_validation_method__none	suggested_validation_method	none	709272	source_metric_present
ERR10619309	run_2026_06_02_181024	q1	counts_by_validation_required__False	validation_required	False	847181	source_metric_present
ERR10619309	run_2026_06_02_181024	q1	counts_by_validation_required__True	validation_required	True	32220	source_metric_present
ERR10619309	run_2026_06_02_181024	q1	counts_by_validation_priority__high	validation_priority	high	2	source_metric_present
ERR10619309	run_2026_06_02_181024	q1	counts_by_validation_priority__low	validation_priority	low	847181	source_metric_present
ERR10619309	run_2026_06_02_181024	q1	counts_by_validation_priority__medium	validation_priority	medium	32218	source_metric_present
ERR10619309	run_2026_06_02_181024	q1	counts_by_suggested_validation_method__IGV	suggested_validation_method	IGV	32220	source_metric_present
ERR10619309	run_2026_06_02_181024	q1	counts_by_suggested_validation_method__none	suggested_validation_method	none	847181	source_metric_present
ERR10619330	run_2026_06_01_203130	q1	counts_by_validation_required__False	validation_required	False	928676	source_metric_present
ERR10619330	run_2026_06_01_203130	q1	counts_by_validation_required__True	validation_required	True	34750	source_metric_present
ERR10619330	run_2026_06_01_203130	q1	counts_by_validation_priority__high	validation_priority	high	2	source_metric_present
ERR10619330	run_2026_06_01_203130	q1	counts_by_validation_priority__low	validation_priority	low	928676	source_metric_present
ERR10619330	run_2026_06_01_203130	q1	counts_by_validation_priority__medium	validation_priority	medium	34748	source_metric_present
ERR10619330	run_2026_06_01_203130	q1	counts_by_suggested_validation_method__IGV	suggested_validation_method	IGV	34750	source_metric_present
ERR10619330	run_2026_06_01_203130	q1	counts_by_suggested_validation_method__none	suggested_validation_method	none	928676	source_metric_present
HG002	run_2026_06_03_010030	hg002	counts_by_validation_required__False	validation_required	False	4523221	source_metric_present
HG002	run_2026_06_03_010030	hg002	counts_by_validation_required__True	validation_required	True	113363	source_metric_present
HG002	run_2026_06_03_010030	hg002	counts_by_validation_priority__high	validation_priority	high	0	source_metric_absent_filled_zero
HG002	run_2026_06_03_010030	hg002	counts_by_validation_priority__low	validation_priority	low	4523221	source_metric_present
HG002	run_2026_06_03_010030	hg002	counts_by_validation_priority__medium	validation_priority	medium	113363	source_metric_present
HG002	run_2026_06_03_010030	hg002	counts_by_suggested_validation_method__IGV	suggested_validation_method	IGV	113363	source_metric_present
HG002	run_2026_06_03_010030	hg002	counts_by_suggested_validation_method__none	suggested_validation_method	none	4523221	source_metric_present
