run_id	metric_name	stage_funnel_summary_col_name	metric_value
run_2026_06_01_004903	coding_candidates	coding_candidates	24556
run_2026_06_01_004903	noncoding_candidates	noncoding_candidates	654106
run_2026_06_01_004903	qc_flagged	qc_flagged	11693
run_2026_06_01_004903	splice_region_candidates	splice_region_candidates	2889
run_2026_06_01_004903	coding_interpreted_rows	stage09_coding_interpreted	26948
run_2026_06_01_004903	noncoding_interpreted_rows	stage10_noncoding_interpreted	654106
run_2026_06_01_004903	prioritized_variants_rows	stage11_prioritized_rows	681054
run_2026_06_01_004903	gene_variant_counts_rows	unique_gene_ids	41442
run_2026_06_01_004903	validation_candidates_rows	stage12_validation_rows	681054
run_2026_06_01_124134	raw_called_variants	raw_variant_count	680339
run_2026_06_01_124134	normalized_variants	normalized_variant_count	680339
run_2026_06_01_124134	annotated_variants_vcf	annotated_variant_count	678379
run_2026_06_01_124134	annotated_variants_tsv	stage08_total_variants	678379
run_2026_06_01_124134	rdgp_gene_evidence_seed_rows	rdgp_gene_evidence_seed_rows	41221
run_2026_06_01_124134	coding_candidates	coding_candidates	24149
run_2026_06_01_124134	noncoding_candidates	noncoding_candidates	651824
run_2026_06_01_124134	qc_flagged	qc_flagged	12037
run_2026_06_01_124134	splice_region_candidates	splice_region_candidates	2899
run_2026_06_01_124134	coding_interpreted_rows	stage09_coding_interpreted	26555
run_2026_06_01_124134	noncoding_interpreted_rows	stage10_noncoding_interpreted	651824
run_2026_06_01_124134	prioritized_variants_rows	stage11_prioritized_rows	678379
run_2026_06_01_124134	gene_variant_counts_rows	unique_gene_ids	41222
run_2026_06_01_124134	validation_candidates_rows	stage12_validation_rows	678379
run_2026_06_01_203130	raw_called_variants	raw_variant_count	966283
run_2026_06_01_203130	normalized_variants	normalized_variant_count	966283
run_2026_06_01_203130	annotated_variants_vcf	annotated_variant_count	963426
run_2026_06_01_203130	annotated_variants_tsv	stage08_total_variants	963426
run_2026_06_01_203130	rdgp_gene_evidence_seed_rows	rdgp_gene_evidence_seed_rows	44020
run_2026_06_01_203130	coding_candidates	coding_candidates	24563
run_2026_06_01_203130	noncoding_candidates	noncoding_candidates	936295
run_2026_06_01_203130	qc_flagged	qc_flagged	14443
run_2026_06_01_203130	splice_region_candidates	splice_region_candidates	3058
run_2026_06_01_203130	coding_interpreted_rows	stage09_coding_interpreted	27131
run_2026_06_01_203130	noncoding_interpreted_rows	stage10_noncoding_interpreted	936295
run_2026_06_01_203130	prioritized_variants_rows	stage11_prioritized_rows	963426
run_2026_06_01_203130	gene_variant_counts_rows	unique_gene_ids	44021
