consequence	count
intron_variant	330469
intron_variant&non_coding_transcript_variant	141603
intergenic_variant	114529
upstream_gene_variant	57918
downstream_gene_variant	51384
non_coding_transcript_exon_variant	16751
synonymous_variant	12315
missense_variant	11660
3_prime_UTR_variant	9671
5_prime_UTR_variant	2975
splice_polypyrimidine_tract_variant&intron_variant	2429
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1424
intron_variant&NMD_transcript_variant	1157
splice_region_variant&intron_variant	443
splice_donor_region_variant&intron_variant	383
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	289
missense_variant&splice_region_variant	265
splice_region_variant&synonymous_variant	258
inframe_deletion	245
frameshift_variant	244
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	204
splice_region_variant&non_coding_transcript_exon_variant	186
inframe_insertion	176
stop_gained	91
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	89
splice_donor_5th_base_variant&intron_variant	78
splice_region_variant&intron_variant&non_coding_transcript_variant	51
splice_donor_variant&non_coding_transcript_variant	39
3_prime_UTR_variant&NMD_transcript_variant	38
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	32
splice_region_variant&5_prime_UTR_variant	29
splice_acceptor_variant	28
splice_acceptor_variant&non_coding_transcript_variant	27
splice_donor_variant	26
stop_lost	20
frameshift_variant&splice_region_variant	10
start_lost	10
stop_retained_variant	10
splice_region_variant&3_prime_UTR_variant	6
splice_region_variant&non_coding_transcript_variant	6
stop_gained&frameshift_variant	6
mature_miRNA_variant	5
frameshift_variant&stop_lost	4
inframe_insertion&stop_retained_variant	4
frameshift_variant&splice_donor_region_variant	3
frameshift_variant&start_lost&start_retained_variant	3
missense_variant&NMD_transcript_variant	3
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	3
coding_sequence_variant	2
inframe_insertion&splice_region_variant	2
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	2
start_lost&start_retained_variant	2
synonymous_variant&NMD_transcript_variant	2
frameshift_variant&splice_region_variant&intron_variant	1
frameshift_variant&start_retained_variant	1
incomplete_terminal_codon_variant&coding_sequence_variant	1
inframe_deletion&splice_region_variant	1
protein_altering_variant	1
splice_acceptor_variant&5_prime_UTR_variant	1
splice_acceptor_variant&5_prime_UTR_variant&intron_variant	1
splice_acceptor_variant&NMD_transcript_variant	1
splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	1
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
start_lost&splice_region_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_gained&splice_region_variant	1
stop_lost&splice_region_variant	1
stop_retained_variant&3_prime_UTR_variant	1
