stage	status	start_time	end_time	elapsed_seconds
stage_01_load_data	success	2026-05-27T23:35:24+00:00	2026-05-27T23:35:24+00:00	0.0
stage_02_align_data	success	2026-05-27T23:35:24+00:00	2026-05-28T01:17:48+00:00	6144.0
stage_03_process_bam	success	2026-05-28T01:17:48+00:00	2026-05-28T01:22:46+00:00	298.0
stage_04_qc_aligned_reads	success	2026-05-28T01:22:46+00:00	2026-05-28T01:23:36+00:00	50.0
stage_05_call_variants	success	2026-05-28T01:23:36+00:00	2026-05-28T04:16:45+00:00	10389.0
stage_06_normalize_vcf	success	2026-05-28T04:16:45+00:00	2026-05-28T04:17:03+00:00	18.0
stage_07_annotate_variants	success	2026-05-28T04:17:04+00:00	2026-05-28T04:37:29+00:00	1225.0
stage_08_filter_and_partition	success	2026-05-28T04:37:32+00:00	2026-05-28T04:39:12+00:00	100.0
stage_09_interpret_coding	success	2026-05-28T04:39:23+00:00	2026-05-28T04:39:24+00:00	1.0
stage_10_interpret_noncoding	success	2026-05-28T04:39:26+00:00	2026-05-28T04:39:55+00:00	29.0
stage_11_prioritize_variants	success	2026-05-28T04:40:48+00:00	2026-05-28T04:41:14+00:00	26.0
stage_12_validate_variants	success	2026-05-28T04:41:19+00:00	2026-05-28T04:41:45+00:00	26.0
stage_13_write_summary	success	2026-05-28T04:41:51+00:00	2026-05-28T04:41:51+00:00	0.0
