stage	status	start_time	end_time	elapsed_seconds
stage_01_load_data	success	2026-05-31T09:12:42+00:00	2026-05-31T09:12:42+00:00	0.0
stage_02_align_data	success	2026-05-31T09:12:42+00:00	2026-05-31T10:45:33+00:00	5571.0
stage_03_process_bam	success	2026-05-31T10:45:33+00:00	2026-05-31T10:49:54+00:00	261.0
stage_04_qc_aligned_reads	success	2026-05-31T10:49:54+00:00	2026-05-31T10:50:38+00:00	44.0
stage_05_call_variants	success	2026-05-31T10:50:38+00:00	2026-05-31T13:36:04+00:00	9926.0
stage_06_normalize_vcf	success	2026-05-31T13:36:05+00:00	2026-05-31T13:36:23+00:00	18.0
stage_07_annotate_variants	success	2026-05-31T13:36:23+00:00	2026-05-31T13:55:54+00:00	1171.0
stage_08_filter_and_partition	success	2026-05-31T13:55:57+00:00	2026-05-31T13:57:31+00:00	94.0
stage_09_interpret_coding	success	2026-05-31T13:57:42+00:00	2026-05-31T13:57:43+00:00	1.0
stage_10_interpret_noncoding	success	2026-05-31T13:57:44+00:00	2026-05-31T13:58:12+00:00	28.0
stage_11_prioritize_variants	success	2026-05-31T13:59:02+00:00	2026-05-31T13:59:26+00:00	24.0
stage_12_validate_variants	success	2026-05-31T13:59:31+00:00	2026-05-31T13:59:56+00:00	25.0
stage_13_write_summary	success	2026-05-31T14:00:02+00:00	2026-05-31T14:00:02+00:00	0.0
