sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key	frequency_status	rarity_flag	variant_count
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000144285	SCN1A	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id	rare	rare	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000197283	SYNGAP1	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000109576	AADAT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000124608	AARS2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	2
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000183044	ABAT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	4
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000154258	ABCA9	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	2
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000115657	ABCB6	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000131269	ABCB7	mitocarta	1	mitocarta	True	False	ensembl_gene_id	rare	rare	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000197150	ABCB8	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000106077	ABHD11	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000167315	ACAA2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000076555	ACACB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	9
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000240303	ACAD11	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	3
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000177646	ACAD9	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000115361	ACADL	mitocarta	1	mitocarta	True	False	ensembl_gene_id	low_frequency	low_frequency	2
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000115361	ACADL	mitocarta	1	mitocarta	True	False	ensembl_gene_id	rare	rare	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000117054	ACADM	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000122971	ACADS	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000196177	ACADSB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000196177	ACADSB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	low_frequency	low_frequency	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000110455	ACCS	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	4
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000131473	ACLY	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000162390	ACOT11	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	2
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000112304	ACOT13	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000119673	ACOT2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000123130	ACOT9	mitocarta	1	mitocarta	True	False	ensembl_gene_id	rare	rare	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000162836	ACP6	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000162836	ACP6	mitocarta	1	mitocarta	True	False	ensembl_gene_id	low_frequency	low_frequency	1
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000176715	ACSF3	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	11
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000151726	ACSL1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	2
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000166743	ACSM1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	2
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000183747	ACSM2A	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	2
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000066813	ACSM2B	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	2
ERR10619208	run_2026_05_30_151355	WES	full_pipeline	ENSG00000215009	ACSM4	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
