consequence	count
intron_variant	370837
intron_variant&non_coding_transcript_variant	172473
intergenic_variant	145244
upstream_gene_variant	68202
downstream_gene_variant	60222
non_coding_transcript_exon_variant	17764
synonymous_variant	11649
missense_variant	11069
3_prime_UTR_variant	10612
5_prime_UTR_variant	2975
splice_polypyrimidine_tract_variant&intron_variant	2315
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1365
intron_variant&NMD_transcript_variant	1363
splice_region_variant&intron_variant	447
splice_donor_region_variant&intron_variant	363
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	299
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	247
splice_region_variant&synonymous_variant	243
missense_variant&splice_region_variant	233
inframe_deletion	229
frameshift_variant	220
splice_region_variant&non_coding_transcript_exon_variant	188
inframe_insertion	157
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	104
splice_donor_5th_base_variant&intron_variant	92
stop_gained	90
splice_region_variant&intron_variant&non_coding_transcript_variant	57
splice_donor_variant&non_coding_transcript_variant	53
splice_acceptor_variant&non_coding_transcript_variant	35
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	31
splice_region_variant&5_prime_UTR_variant	31
3_prime_UTR_variant&NMD_transcript_variant	29
splice_acceptor_variant	24
splice_donor_variant	24
stop_lost	19
start_lost	10
stop_retained_variant	9
incomplete_terminal_codon_variant&coding_sequence_variant	5
splice_region_variant&3_prime_UTR_variant	5
coding_sequence_variant	4
frameshift_variant&splice_region_variant	4
frameshift_variant&stop_lost	4
mature_miRNA_variant	4
splice_region_variant&non_coding_transcript_variant	4
frameshift_variant&splice_donor_region_variant	3
inframe_insertion&stop_retained_variant	3
protein_altering_variant	3
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	3
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	3
stop_gained&frameshift_variant	3
stop_retained_variant&3_prime_UTR_variant	3
frameshift_variant&start_lost&start_retained_variant	2
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	2
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	2
start_lost&start_retained_variant	2
coding_sequence_variant&5_prime_UTR_variant	1
frameshift_variant&splice_region_variant&intron_variant	1
inframe_deletion&splice_region_variant	1
missense_variant&NMD_transcript_variant	1
protein_altering_variant&splice_region_variant	1
splice_acceptor_variant&5_prime_UTR_variant	1
splice_acceptor_variant&coding_sequence_variant&intron_variant	1
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_region_variant&synonymous_variant	1
splice_donor_variant&non_coding_transcript_exon_variant	1
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
start_lost&inframe_deletion&start_retained_variant	1
start_lost&splice_region_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_lost&splice_region_variant	1
