sample_id	run_id	assay_type	run_classification	interpretation_domain	summary_axis	consequence_label	count
ERR10619330	run_2026_06_01_203130	WES	q1	coding	frequency_class	common	24081
ERR10619330	run_2026_06_01_203130	WES	q1	coding	frequency_class	low_frequency	1401
ERR10619330	run_2026_06_01_203130	WES	q1	coding	frequency_class	missing	269
ERR10619330	run_2026_06_01_203130	WES	q1	coding	frequency_class	rare	1380
ERR10619330	run_2026_06_01_203130	WES	q1	coding	frequency_class	unknown	0
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	frequency_class	common	808043
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	frequency_class	low_frequency	38260
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	frequency_class	missing	37007
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	frequency_class	rare	52985
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	frequency_class	unknown	0
ERR10619330	run_2026_06_01_203130	WES	q1	coding	interpretation_label	coding_common_or_low_support	25432
ERR10619330	run_2026_06_01_203130	WES	q1	coding	interpretation_label	coding_uninterpretable	500
ERR10619330	run_2026_06_01_203130	WES	q1	coding	interpretation_label	lof_or_missense_rare	1197
ERR10619330	run_2026_06_01_203130	WES	q1	coding	interpretation_label	lof_rare_clinically_supported	2
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	interpretation_label	noncoding_common_or_low_support	725798
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	interpretation_label	noncoding_uninterpretable	176946
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	interpretation_label	regulatory_or_transcript_rare	33551
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	interpretation_label	regulatory_rare_supported	0
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	context	intergenic	162498
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	context	intronic	404187
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	context	proximal	140305
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	context	regulatory	0
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	context	transcript_associated	214857
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	context	unknown	14448
ERR10619330	run_2026_06_01_203130	WES	q1	coding	variant_function	loss_of_function	556
ERR10619330	run_2026_06_01_203130	WES	q1	coding	variant_function	missense	11681
ERR10619330	run_2026_06_01_203130	WES	q1	coding	variant_function	other_coding	402
ERR10619330	run_2026_06_01_203130	WES	q1	coding	variant_function	splice_relevant	2646
ERR10619330	run_2026_06_01_203130	WES	q1	coding	variant_function	synonymous	11846
ERR10619330	run_2026_06_01_203130	WES	q1	coding	variant_function	unknown	0
ERR10619330	run_2026_06_01_203130	WES	q1	coding	clinical_status	benign	6737
ERR10619330	run_2026_06_01_203130	WES	q1	coding	clinical_status	conflicting	65
ERR10619330	run_2026_06_01_203130	WES	q1	coding	clinical_status	likely_benign	778
ERR10619330	run_2026_06_01_203130	WES	q1	coding	clinical_status	likely_pathogenic	17
ERR10619330	run_2026_06_01_203130	WES	q1	coding	clinical_status	missing	19291
ERR10619330	run_2026_06_01_203130	WES	q1	coding	clinical_status	pathogenic	16
ERR10619330	run_2026_06_01_203130	WES	q1	coding	clinical_status	vus	227
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	clinical_status	benign	25049
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	clinical_status	conflicting	17
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	clinical_status	likely_benign	1254
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	clinical_status	likely_pathogenic	6
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	clinical_status	missing	909743
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	clinical_status	pathogenic	11
ERR10619330	run_2026_06_01_203130	WES	q1	noncoding	clinical_status	vus	215
