gene_symbol	n_variants
DNAH14	15
SYNE1	15
DYNC2H1	14
KMT2C	14
ACACB	13
COL4A2	13
ASPM	11
LAMC3	11
PIGN	11
LAMA2	10
PITRM1	10
SETBP1	10
SLC25A5	10
ACSF3	9
DCHS1	9
GALC	9
HTT	9
RELN	9
ATAD3B	8
DMXL2	8
ECHDC3	8
PCLO	8
ANK2	7
CHRNA4	7
LSS	7
MCPH1	7
MTNAP1	7
POLQ	7
SARDH	7
TRPM3	7
AGMAT	6
ALDH1L1	6
CACNA1E	6
CDK5RAP2	6
CHD5	6
CTU2	6
DHTKD1	6
EP400	6
FGFR3	6
JMJD1C	6
KMT2D	6
MTCH2	6
MTFR1	6
PDPR	6
RYR3	6
SETD1B	6
ADCY10	5
AGXT2	5
ALDH4A1	5
ASTN1	5
CACNA1A	5
CASP9	5
CELSR1	5
CENPF	5
DIP2C	5
DMGDH	5
GABBR2	5
GFM2	5
GOT2	5
HCN2	5
HIVEP2	5
HSD17B4	5
KMT2B	5
MAST3	5
MRPL39	5
MTOR	5
NUP214	5
OGDHL	5
PEX6	5
PTPN23	5
RERE	5
SON	5
SPTAN1	5
SZT2	5
TRAPPC12	5
TXNRD2	5
UGGT1	5
VARS2	5
ABAT	4
ABCA2	4
ABCA9	4
ADAR	4
AMACR	4
BAZ2B	4
CACNA2D1	4
CAMK2B	4
CCDC88C	4
CHD2	4
COQ3	4
CREBBP	4
CYP11B2	4
DNM1L	4
GPAM	4
GPSM2	4
HERC2	4
HK1	4
IRF2BPL	4
LARS2	4
LRBA	4
MRPS9	4
MYG1	4
NEU4	4
NSD1	4
PDE2A	4
RAI1	4
RBL2	4
RTTN	4
SCN10A	4
SCN8A	4
SDR39U1	4
SLC2A1	4
SLC45A1	4
SMARCA2	4
TBCD	4
TGIF1	4
TMEM63B	4
TSEN54	4
TUBGCP2	4
UNC79	4
UNC80	4
AARS2	3
ABCC9	3
ACCS	3
ACOX1	3
ACSL1	3
ACSM2B	3
AFDN	3
AKAP1	3
ALDH1B1	3
ANK3	3
ANKRD11	3
ANKRD17	3
ATN1	3
BLTP1	3
BRAT1	3
CAMK2A	3
CBR3	3
CEP85L	3
CEP89	3
CNTNAP1	3
COASY	3
COL3A1	3
COL4A1	3
COMT	3
CPS1	3
CRYZ	3
CTSF	3
CUX2	3
CYP11B1	3
DNAJA3	3
EARS2	3
ECHS1	3
EHMT1	3
EMC1	3
EPG5	3
FAM185A	3
FASN	3
FASTKD1	3
FDFT1	3
FRA10AC1	3
FRYL	3
GCSH	3
GM2A	3
GNB5	3
GRIN2B	3
GRIN2D	3
GRM7	3
GTPBP3	3
HACE1	3
HECW2	3
HID1	3
ISCU	3
KCNA1	3
KCNJ11	3
KCNN2	3
KCNQ2	3
KCNQ3	3
LMBRD2	3
LMX1B	3
MACF1	3
MANBA	3
MAOA	3
MAP1B	3
MED13L	3
MMAB	3
MRPL45	3
MT-CO1	3
MT-CYB	3
MYCBP2	3
NALCN	3
NAXE	3
NBEA	3
NDST1	3
NIPSNAP3B	3
NLRX1	3
NPC1	3
NRDC	3
OGDH	3
PAH	3
PCDH12	3
PIDD1	3
PIK3C2B	3
PLXNC1	3
PNPT1	3
POLRMT	3
POMT1	3
POMT2	3
PUS3	3
RSAD1	3
SCN3A	3
SEPTIN4	3
SF3B1	3
SFXN4	3
SLC1A2	3
SLC25A47	3
SLC30A9	3
SNIP1	3
THEM5	3
TIAM1	3
TMEM177	3
TMEM70	3
TNK2	3
TRAPPC10	3
TRIO	3
TSC2	3
TSPYL1	3
TXNRD1	3
UNC13A	3
VPS11	3
WDR73	3
ZNF142	3
ZNF335	3
ABCB10	2
ABCB8	2
ACADS	2
ACOT11	2
ACP6	2
ACSM1	2
ACSM4	2
ACSS1	2
ACTG1	2
ADAT3	2
ADCK5	2
ADGRG1	2
ADHFE1	2
AFG3L2	2
AHDC1	2
ALDH1L2	2
ALDH9A1	2
ALG2	2
ALG8	2
ALKBH8	2
ANO4	2
AP1G1	2
ARF3	2
ASNS	2
ASXL3	2
ATP13A2	2
ATP1A1	2
ATP23	2
ATP2B2	2
B3GALNT2	2
BCAS3	2
BCL2L2	2
BCO2	2
BPTF	2
BSN	2
CACNA1B	2
CAD	2
CARS2	2
CBR4	2
CC2D2A	2
CCDC90B	2
CDK5RAP1	2
CELF2	2
CHCHD10	2
CHD1	2
CHD4	2
CHPT1	2
CMPK2	2
CNNM2	2
CNTNAP2	2
COG4	2
COL18A1	2
COQ2	2
COX10	2
COX20	2
CP	2
CPT2	2
CRLS1	2
CSF1R	2
CWF19L1	2
DDX28	2
DENND2B	2
DENND5B	2
DIAPH1	2
DLAT	2
DLG4	2
DLST	2
DMAC1	2
DMAC2	2
DNA2	2
DNAJC11	2
DNAJC30	2
DNAJC6	2
DNM1	2
DPYD	2
DROSHA	2
DUS2	2
DYNC1H1	2
ECH1	2
ECM1	2
EEF1A2	2
EIF3F	2
EXOC7	2
FASTKD3	2
FECH	2
FUT8	2
GABRA5	2
GABRB1	2
GARS1	2
GFM1	2
GLDC	2
GPD2	2
GSR	2
GTPBP10	2
GUF1	2
HADHB	2
HDHD5	2
HEXA	2
HIBCH	2
HOGA1	2
IFIH1	2
IMMT	2
ITPA	2
KANSL1	2
KAT8	2
