sample_id	run_id	assay_type	run_classification	interpretation_domain	molecular_consequence	count
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	intergenic	1107793
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	intronic	1615376
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	proximal	587954
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	regulatory	0
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	transcript_associated	1253498
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	noncoding	unknown	44477
ERR10619203	run_2026_05_30_071639	WES	q3	coding	loss_of_function	527
ERR10619203	run_2026_05_30_071639	WES	q3	coding	missense	11332
ERR10619203	run_2026_05_30_071639	WES	q3	coding	other_coding	387
ERR10619203	run_2026_05_30_071639	WES	q3	coding	splice_relevant	2233
ERR10619203	run_2026_05_30_071639	WES	q3	coding	synonymous	11792
ERR10619203	run_2026_05_30_071639	WES	q3	coding	utr_regulatory	0
ERR10619203	run_2026_05_30_071639	WES	q3	noncoding	loss_of_function	0
ERR10619203	run_2026_05_30_071639	WES	q3	noncoding	missense	0
ERR10619203	run_2026_05_30_071639	WES	q3	noncoding	other_coding	536813
ERR10619203	run_2026_05_30_071639	WES	q3	noncoding	splice_relevant	3063
ERR10619203	run_2026_05_30_071639	WES	q3	noncoding	synonymous	9
ERR10619203	run_2026_05_30_071639	WES	q3	noncoding	utr_regulatory	108437
ERR10619207	run_2026_06_01_124134	WES	q3	coding	loss_of_function	520
ERR10619207	run_2026_06_01_124134	WES	q3	coding	missense	11420
ERR10619207	run_2026_06_01_124134	WES	q3	coding	other_coding	407
ERR10619207	run_2026_06_01_124134	WES	q3	coding	splice_relevant	2269
ERR10619207	run_2026_06_01_124134	WES	q3	coding	synonymous	11939
ERR10619207	run_2026_06_01_124134	WES	q3	coding	utr_regulatory	0
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	loss_of_function	0
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	missense	0
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	other_coding	539704
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	splice_relevant	3134
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	synonymous	14
ERR10619207	run_2026_06_01_124134	WES	q3	noncoding	utr_regulatory	108972
ERR10619208	run_2026_05_30_151355	WES	median	coding	loss_of_function	530
ERR10619208	run_2026_05_30_151355	WES	median	coding	missense	12088
ERR10619208	run_2026_05_30_151355	WES	median	coding	other_coding	411
ERR10619208	run_2026_05_30_151355	WES	median	coding	splice_relevant	2407
ERR10619208	run_2026_05_30_151355	WES	median	coding	synonymous	12605
ERR10619208	run_2026_05_30_151355	WES	median	coding	utr_regulatory	0
