sample_id	run_id	stage	elapsed_seconds	status	start_time	end_time
ERR10619300	run_2026_05_15_063040	stage_08_filter_and_partition	93	success	2026-05-15T11:27:21+00:00	2026-05-15T11:28:54+00:00
ERR10619300	run_2026_05_15_063040	stage_09_interpret_coding	1	success	2026-05-15T11:28:54+00:00	2026-05-15T11:28:55+00:00
ERR10619300	run_2026_05_15_063040	stage_10_interpret_noncoding	26	success	2026-05-15T11:28:55+00:00	2026-05-15T11:29:21+00:00
ERR10619300	run_2026_05_15_063040	stage_11_prioritize_variants	22	success	2026-05-15T11:29:21+00:00	2026-05-15T11:29:43+00:00
ERR10619300	run_2026_05_15_063040	stage_12_validate_variants	23	success	2026-05-15T11:29:43+00:00	2026-05-15T11:30:06+00:00
ERR10619300	run_2026_05_15_063040	stage_13_write_summary	0	success	2026-05-15T11:30:06+00:00	2026-05-15T11:30:06+00:00
HG002	run_2026_05_13_060859	stage_01_load_data	0	success	2026-05-13T06:08:59+00:00	2026-05-13T06:08:59+00:00
HG002	run_2026_05_13_060859	stage_02_align_data	31601	success	2026-05-13T06:08:59+00:00	2026-05-13T14:55:40+00:00
HG002	run_2026_05_13_060859	stage_03_process_bam	1062	success	2026-05-13T14:55:40+00:00	2026-05-13T15:13:22+00:00
HG002	run_2026_05_13_060859	stage_04_qc_aligned_reads	174	success	2026-05-13T15:13:22+00:00	2026-05-13T15:16:16+00:00
HG002	run_2026_05_13_060859	stage_05_call_variants	41883	success	2026-05-13T15:16:16+00:00	2026-05-14T02:54:19+00:00
HG002	run_2026_05_13_060859	stage_06_normalize_vcf	60	success	2026-05-14T02:54:19+00:00	2026-05-14T02:55:19+00:00
HG002	run_2026_05_13_060859	stage_07_annotate_variants	6091	success	2026-05-14T02:55:19+00:00	2026-05-14T04:36:50+00:00
HG002	run_2026_05_13_060859	stage_08_filter_and_partition	547	success	2026-05-14T04:36:50+00:00	2026-05-14T04:45:57+00:00
HG002	run_2026_05_13_060859	stage_09_interpret_coding	2	success	2026-05-14T04:45:57+00:00	2026-05-14T04:45:59+00:00
HG002	run_2026_05_13_060859	stage_10_interpret_noncoding	168	success	2026-05-14T04:45:59+00:00	2026-05-14T04:48:47+00:00
HG002	run_2026_05_13_060859	stage_11_prioritize_variants	142	success	2026-05-14T04:48:47+00:00	2026-05-14T04:51:09+00:00
HG002	run_2026_05_13_060859	stage_12_validate_variants	144	success	2026-05-14T04:51:09+00:00	2026-05-14T04:53:33+00:00
HG002	run_2026_05_13_060859	stage_13_write_summary	0	success	2026-05-14T04:53:33+00:00	2026-05-14T04:53:33+00:00
ERR10619203	run_2026_05_30_071639	stage_01_load_data	0	success	2026-05-30T07:16:39+00:00	2026-05-30T07:16:39+00:00
ERR10619203	run_2026_05_30_071639	stage_02_align_data	5376	success	2026-05-30T07:16:39+00:00	2026-05-30T08:46:15+00:00
ERR10619203	run_2026_05_30_071639	stage_03_process_bam	265	success	2026-05-30T08:46:15+00:00	2026-05-30T08:50:40+00:00
ERR10619203	run_2026_05_30_071639	stage_04_qc_aligned_reads	46	success	2026-05-30T08:50:40+00:00	2026-05-30T08:51:26+00:00
ERR10619203	run_2026_05_30_071639	stage_05_call_variants	8981	success	2026-05-30T08:51:26+00:00	2026-05-30T11:21:07+00:00
ERR10619203	run_2026_05_30_071639	stage_06_normalize_vcf	17	success	2026-05-30T11:21:07+00:00	2026-05-30T11:21:24+00:00
ERR10619203	run_2026_05_30_071639	stage_07_annotate_variants	1042	success	2026-05-30T11:21:25+00:00	2026-05-30T11:38:47+00:00
ERR10619203	run_2026_05_30_071639	stage_08_filter_and_partition	83	success	2026-05-30T11:38:50+00:00	2026-05-30T11:40:13+00:00
ERR10619203	run_2026_05_30_071639	stage_09_interpret_coding	1	success	2026-05-30T11:40:22+00:00	2026-05-30T11:40:23+00:00
