sample_id	run_id	assay_type	run_classification	interpretation_domain	summary_axis	consequence_label	count
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	clinical_status	missing	756808
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	clinical_status	pathogenic	13
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	clinical_status	vus	201
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	context	intergenic	128568
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	context	intronic	350411
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	context	proximal	117915
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	context	regulatory	0
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	context	transcript_associated	173947
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	context	unknown	12844
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	frequency_class	common	664061
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	frequency_class	low_frequency	36575
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	frequency_class	missing	31855
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	frequency_class	rare	51194
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	frequency_class	unknown	0
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	interpretation_label	noncoding_common_or_low_support	610184
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	interpretation_label	noncoding_uninterpretable	141412
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	interpretation_label	regulatory_or_transcript_rare	32089
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	noncoding	interpretation_label	regulatory_rare_supported	0
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	clinical_status	benign	7243
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	clinical_status	conflicting	89
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	clinical_status	likely_benign	862
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	clinical_status	likely_pathogenic	19
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	coding	clinical_status	missing	19363
