gene_symbol	n_variants
NO_GENE_SYMBOL	10015
DUX4L19	167
DUX4L16	140
DUX4L18	137
DUX4L17	122
FRG2C	74
LINC01667	71
Y_RNA	37
PRSS3P1	34
DUX4L34	30
CASC15	29
FAM8A4P	26
HLA-DRB6	26
ROCK1P1	26
BAGE2	25
MUC6	24
CDRT15P10	23
DUX4L8	21
KIR3DL2	21
MUC3A	20
MUC4	20
LINC01900	19
MUC16	19
PABPC1P5	19
SNHG14	19
GXYLT1P2	18
PRSS2	18
CNN2P6	17
DNM1P47	17
H2AZ1-DT	17
LINC01320	17
LINC02934	17
LINC03036	17
CROCCP2	16
CTBP2P1	16
KIR2DL1	16
KIR3DL1	16
POLR1HASP	16
RHPN2P1	16
ZNF248	16
AHNAK2	15
NPSR1-AS1	15
CDC27P2	14
KIR2DL3	14
LINC02646	14
LINC02133	13
LINC02882	13
PRSS3	13
SGO1-AS1	13
SLC9B1P3	13
ZNF25-DT	13
CCDC26	12
FIRRE	12
LILRB1	12
LINC02055	12
LINC03000	12
METAZOA_SRP	12
MUC2	12
ANKRD36BP2	11
DIO2-AS1	11
EGLN3	11
FAM8A1	11
FAM8A2P	11
LINC02113	11
NRXN1-DT	11
PGM5P2	11
PKN2-AS1	11
UBE2H-DT	11
CDC27P1	10
DHCR24-DT	10
GTF2I-AS1	10
HLA-DRB1	10
HSD17B7P2	10
KIR2DP1	10
LILRP1	10
LINC00299	10
LINC02253	10
ADAM7-AS1	9
ARHGAP29-AS1	9
DUX4L4	9
FRG2	9
HCG20	9
HMGA1P4	9
KSR1P1	9
LINC01122	9
LINC01208	9
LINC01500	9
LINC01517	9
LINC01597	9
LINC01982	9
LINC02757	9
LINC03142	9
LIPE-AS1	9
MIR4300HG	9
PPIA	9
PPP1R3B-DT	9
PRSS1	9
RGS2-AS1	9
TUBB8B	9
ZNF33CP	9
DDHD1-DT	8
DLEU1	8
DPY19L1P1	8
GXYLT1P7	8
HCCS-DT	8
IL12A-AS1	8
LINC00511	8
LINC00578	8
LINC01182	8
LINC01410	8
LINC01418	8
LINC01483	8
LY6S-AS1	8
MAP4K3-DT	8
MFSD14CP	8
MGC4859	8
MIR3171HG	8
MIR3681HG	8
MMADHC-DT	8
OBI1-AS1	8
OR7G2	8
PCBP1-AS1	8
PDXDC2P-NPIPB14P	8
POLR2J4	8
RBBP8-AS1	8
SPRY4-AS1	8
TESHL	8
TLK2P2	8
ANKRD26P3	7
ANKRD62	7
ANXA2R-OT1	7
CARD18	7
CCDC144NL-AS1	7
CFAP20DC-DT	7
CFAP418-AS1	7
COX10-DT	7
DAB1	7
F11-AS1	7
FMNL1-DT	7
FRG1HP	7
FRG1JP	7
FTX	7
GDNF-AS1	7
HERC2P3	7
HLA-H	7
HYDIN2	7
IGHA2	7
ITFG2-AS1	7
LINC00960	7
LINC01067	7
LINC01090	7
LINC01091	7
LINC01237	7
LINC01301	7
LINC01563	7
LINC02006	7
LINC02715	7
LMF2	7
LURAP1L-AS1	7
NALCN-AS1	7
NBPF3	7
PEX19	7
PWRN1	7
RFLNA	7
RNA5-8SP6	7
RNA5SP528	7
RRS1-DT	7
SOX2-OT	7
STKLD1	7
SUMF1	7
ZBED5-AS1	7
ZNF37CP	7
AFDN-DT	6
ANKRD20A9P	6
BASP1-AS1	6
BTG1-DT	6
C4A	6
C5AR2	6
CLPSL1	6
CNIH3	6
CROCCP3	6
DUX4L50	6
ENPP7P7	6
ESCO1	6
FAM230C	6
FAM85B	6
GUSBP1	6
HLA-C	6
IL12B-AS1	6
LINC00243	6
LINC00301	6
LINC00472	6
LINC00477	6
LINC00486	6
LINC00581	6
LINC00624	6
LINC01094	6
LINC01278	6
LINC01342	6
LINC01414	6
LINC01505	6
LINC01572	6
LINC01659	6
LINC01811	6
LINC01819	6
LINC01934	6
LINC02018	6
LINC02177	6
LINC02198	6
LINC02223	6
LINC02358	6
LINC02490	6
LINC02691	6
LINC02737	6
LNC-LBCS	6
MCPH1-DT	6
MIATNB	6
MRPS9-AS2	6
OTX2-AS1	6
PABPC1P12	6
PABPC3	6
PAOX	6
PCAT1	6
PRANCR	6
PTH2R	6
PURPL	6
RNF32-DT	6
ROCR	6
SCART1	6
SLC30A10	6
SLC8A1-AS1	6
SLC9B1P1	6
SLC9B1P4	6
SNRPG	6
STAG3L4	6
STEAP2-AS1	6
TAF7	6
TLE1-DT	6
TRBV6-6	6
XRCC6P1	6
ZKSCAN2-DT	6
ZMIZ1-AS1	6
A2ML1-AS1	5
ACTR3-AS1	5
ADAMTS9-AS2	5
ADD3-AS1	5
ADGRA1	5
AFG3L2P1	5
ANAPC1	5
ANAPC1P4	5
ASAH1-AS1	5
ATP5MC1	5
BECN2	5
BNIP1	5
C4B	5
CARF	5
CAV2-DT	5
CCNYL2	5
CDC27P3	5
CDCA4	5
CEP170P1	5
CHEK2P5	5
CMAHP	5
CSPG4P5	5
DISC1FP1	5
DRC7	5
DTX2P1	5
DUSP4	5
DYNLRB2-AS1	5
ERRFI1-DT	5
FAM182B	5
FANCD2P2	5
FRG1BP	5
GP1BB	5
GRHL2-DT	5
GTF2IP5	5
HLA-DRB5	5
HNRNPA1P12	5
HULC	5
IGHG4	5
INTS5	5
KCNE4	5
KTN1-AS1	5
LILRP2	5
LINC00393	5
LINC00540	5
LINC00680	5
LINC01036	5
LINC01088	5
LINC01151	5
LINC01482	5
LINC01492	5
LINC01503	5
LINC01692	5
LINC01708	5
LINC01857	5
LINC01885	5
LINC01951	5
LINC01994	5
LINC02008	5
LINC02147	5
LINC02240	5
LINC02241	5
LINC02267	5
LINC02298	5
LINC02437	5
LINC02476	5
LINC02613	5
LINC03077	5
LMCD1-AS1	5
MAGEA4	5
MAILR	5
MAPK12	5
MBLAC1	5
MDS2	5
METTL15	5
MFAP3	5
MFSD13B	5
MIR4527HG	5
MITA1	5
MTMR9	5
MYO5BP3	5
NBPF25P	5
NFKB1-AS1	5
NPEPPSP1	5
OGFOD3	5
OR9G1	5
PABPC1P6	5
PADI2	5
PDPR2P	5
PKD1P1	5
POT1-AS1	5
PSMC6	5
PSMD7-DT	5
PTPRS	5
RBFOX1	5
RNF122	5
RRN3P3	5
SMG1P5	5
SURF1	5
TGOLN2	5
TM9SF5P	5
TMEM130	5
TMEM184B	5
TMEM252-DT	5
TNFRSF4	5
TRBV7-4	5
TREH	5
USP30	5
WARS2-AS1	5
WDR59	5
WDR70P1	5
ZNF25	5
AACSP1	4
ACTG1	4
ADORA2A-AS1	4
AFMID	4
AGFG2	4
ALG1L1P	4
ANKRD20A7P	4
ANKRD34C-AS1	4
ANXA13	4
ARAP3	4
ARHGAP23	4
ATP11AUN	4
ATP2B1-AS1	4
ATXN2-AS	4
B3GALNT2P1	4
BAALC-AS1	4
BCKDK	4
BCL10-AS1	4
BHLHE40-AS1	4
BRD4	4
C11ORF40	4
CASC8	4
CCL4L2	4
CCNY-AS1	4
CD81-AS1	4
CFHR2	4
CGB8	4
CHEK2P1	4
CHMP1B2P	4
COX7A2L	4
CRAT37	4
CROCC	4
CRX	4
CSTF3-DT	4
CTB-1I21.1	4
CXCL16	4
CYBC1	4
CYP2D8P	4
CYP4F26P	4
DHX34	4
DIRC3	4
DPY19L2P3	4
DUX4	4
EIF4EBP1	4
ENPP7P8	4
ENTPD1-AS1	4
ERC1	4
ESPNP	4
EXTL3	4
FALEC	4
FAM174A-DT	4
FAM182A	4
FAM230I	4
FAM27C	4
FAM86GP	4
FCGBP	4
FILNC1	4
FLJ43315	4
FRMD6-AS2	4
G2E3-AS1	4
GATA2-AS1	4
GMDS-DT	4
GOLGA6L17P	4
GOLGA6L25	4
GPX4	4
GUSBP5	4
H2AZ2	4
HCG9	4
HELB	4
HIGD1B	4
HLA-B	4
HLA-DQA1	4
HNF1A-AS1	4
HNRNPA1P47	4
HRG-AS1	4
HSPD1P8	4
HTATSF1P1	4
HUS1	4
IER5L-AS1	4
IGHV4-28	4
IKBKB-DT	4
INA	4
KCNJ12	4
KCTD2	4
KIF18B	4
KNDC1	4
KPNB1	4
KPNB1-DT	4
KRT18P43	4
L1TD1	4
LAMTOR5-AS1	4
LBX1-AS1	4
LCN15	4
LETM1	4
LILRB3	4
LINC-PINT	4
LINC00189	4
LINC00276	4
LINC00375	4
LINC00504	4
LINC00536	4
LINC00595	4
LINC00598	4
LINC00862	4
LINC00907	4
LINC00963	4
LINC01010	4
LINC01012	4
LINC01016	4
LINC01060	4
LINC01163	4
LINC01164	4
LINC01170	4
LINC01242	4
LINC01376	4
LINC01435	4
LINC01476	4
LINC01497	4
LINC01524	4
LINC01562	4
LINC01592	4
LINC01606	4
LINC01643	4
LINC01666	4
LINC01671	4
LINC01749	4
LINC01754	4
LINC01783	4
LINC01807	4
LINC01816	4
LINC01821	4
LINC01827	4
LINC01841	4
LINC01865	4
LINC02250	4
LINC02284	4
LINC02306	4
LINC02323	4
LINC02336	4
LINC02337	4
LINC02422	4
LINC02438	4
LINC02446	4
LINC02458	4
LINC02488	4
LINC02550	4
LINC02664	4
LINC02668	4
LINC02693	4
LINC02714	4
LINC02743	4
LINC02763	4
LINC02789	4
LINC02885	4
LINC02937	4
LINC03006	4
LINC03009	4
LINC03042	4
LINC03138	4
LIX1-AS1	4
LNCAROD	4
LRIG2-DT	4
LRRC57	4
MACC1-OT1	4
MALRD1	4
MED21	4
MEP1AP4	4
MIR34AHG	4
MIR3667HG	4
MIR646HG	4
MKI67	4
MOCS1	4
MSRB3-AS1	4
MUC12	4
MUC20-OT1	4
MYH9-DT	4
NANOGNBP1	4
NDUFA3P3	4
NEPRO-AS1	4
NEU4	4
NLRP7	4
NPIPA2	4
NPR1	4
NRTN	4
NUP210	4
OR1E3	4
OR51D1	4
OR6B2	4
PARAIL	4
PGAM1P5	4
PGM2L1	4
PI4KAP1	4
PKD1P6-NPIPP1	4
PRAMEF17	4
PRAMEF31P	4
PSMD14-DT	4
PSPC1P1	4
PTCHD1-AS	4
PUDP	4
PVT1	4
RAB7A	4
RANBP3	4
RBM4B	4
RBMXL1	4
RCC1	4
