source_interpretation_label	count
noncoding_common_or_low_support	662939
noncoding_uninterpretable	158857
regulatory_or_transcript_rare	31157
coding_common_or_low_support	24878
lof_or_missense_rare	1061
coding_uninterpretable	507
lof_rare_clinically_supported	2
