consequence	count
intron_variant	293822
intron_variant&non_coding_transcript_variant	125643
intergenic_variant	100675
upstream_gene_variant	51277
downstream_gene_variant	45219
non_coding_transcript_exon_variant	15582
synonymous_variant	11561
missense_variant	11111
3_prime_UTR_variant	8982
5_prime_UTR_variant	2932
splice_polypyrimidine_tract_variant&intron_variant	2256
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1368
intron_variant&NMD_transcript_variant	1082
splice_region_variant&intron_variant	442
splice_donor_region_variant&intron_variant	366
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	250
frameshift_variant	227
splice_region_variant&synonymous_variant	227
inframe_deletion	220
missense_variant&splice_region_variant	219
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	180
inframe_insertion	165
splice_region_variant&non_coding_transcript_exon_variant	159
stop_gained	98
splice_donor_5th_base_variant&intron_variant	91
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	74
splice_region_variant&intron_variant&non_coding_transcript_variant	48
splice_donor_variant&non_coding_transcript_variant	44
splice_donor_variant	30
3_prime_UTR_variant&NMD_transcript_variant	27
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	25
splice_region_variant&5_prime_UTR_variant	24
stop_lost	23
splice_acceptor_variant&non_coding_transcript_variant	22
splice_acceptor_variant	21
start_lost	11
frameshift_variant&splice_region_variant	10
stop_retained_variant	8
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	6
frameshift_variant&stop_lost	5
mature_miRNA_variant	5
frameshift_variant&start_lost&start_retained_variant	4
splice_region_variant&3_prime_UTR_variant	4
coding_sequence_variant	3
frameshift_variant&splice_donor_region_variant	3
inframe_insertion&stop_retained_variant	3
inframe_deletion&splice_region_variant	2
missense_variant&NMD_transcript_variant	2
protein_altering_variant	2
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	2
splice_donor_variant&splice_donor_region_variant&intron_variant	2
splice_region_variant&non_coding_transcript_variant	2
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	2
start_lost&splice_region_variant	2
start_lost&start_retained_variant	2
stop_gained&frameshift_variant	2
frameshift_variant&splice_region_variant&intron_variant	1
frameshift_variant&start_lost	1
incomplete_terminal_codon_variant&coding_sequence_variant	1
inframe_insertion&splice_region_variant	1
splice_acceptor_variant&5_prime_UTR_variant	1
splice_acceptor_variant&NMD_transcript_variant	1
splice_acceptor_variant&frameshift_variant	1
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_region_variant&synonymous_variant	1
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&5_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_lost&splice_region_variant	1
stop_retained_variant&3_prime_UTR_variant	1
