consequence	count
intron_variant	401380
intron_variant&non_coding_transcript_variant	194350
intergenic_variant	162498
upstream_gene_variant	74315
downstream_gene_variant	65990
non_coding_transcript_exon_variant	18536
synonymous_variant	11841
missense_variant	11433
3_prime_UTR_variant	11230
5_prime_UTR_variant	3191
splice_polypyrimidine_tract_variant&intron_variant	2311
intron_variant&NMD_transcript_variant	1484
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1424
splice_region_variant&intron_variant	449
splice_donor_region_variant&intron_variant	400
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	313
frameshift_variant	248
missense_variant&splice_region_variant	247
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	237
inframe_deletion	233
splice_region_variant&synonymous_variant	229
splice_region_variant&non_coding_transcript_exon_variant	190
inframe_insertion	167
splice_donor_5th_base_variant&intron_variant	96
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	95
stop_gained	92
splice_region_variant&intron_variant&non_coding_transcript_variant	71
splice_donor_variant&non_coding_transcript_variant	48
3_prime_UTR_variant&NMD_transcript_variant	43
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	34
splice_acceptor_variant	30
splice_region_variant&5_prime_UTR_variant	29
splice_acceptor_variant&non_coding_transcript_variant	27
splice_donor_variant	24
stop_lost	20
stop_retained_variant	15
start_lost	11
frameshift_variant&splice_region_variant	6
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	6
splice_region_variant&non_coding_transcript_variant	6
inframe_insertion&stop_retained_variant	5
mature_miRNA_variant	5
frameshift_variant&start_lost&start_retained_variant	4
splice_region_variant&3_prime_UTR_variant	4
coding_sequence_variant	3
frameshift_variant&splice_donor_region_variant	3
frameshift_variant&stop_lost	3
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	3
splice_donor_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	3
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	3
stop_gained&frameshift_variant	3
5_prime_UTR_variant&NMD_transcript_variant	2
incomplete_terminal_codon_variant&coding_sequence_variant	2
protein_altering_variant	2
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	2
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	2
start_lost&splice_region_variant	2
start_lost&start_retained_variant	2
start_lost&start_retained_variant&5_prime_UTR_variant	2
stop_retained_variant&3_prime_UTR_variant	2
inframe_deletion&splice_region_variant	1
missense_variant&NMD_transcript_variant	1
splice_acceptor_variant&5_prime_UTR_variant	1
splice_acceptor_variant&5_prime_UTR_variant&intron_variant	1
splice_acceptor_variant&coding_sequence_variant&intron_variant	1
splice_acceptor_variant&frameshift_variant	1
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_region_variant&synonymous_variant	1
splice_donor_variant&non_coding_transcript_exon_variant	1
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&synonymous_variant&NMD_transcript_variant	1
stop_gained&inframe_insertion	1
stop_gained&protein_altering_variant	1
stop_gained&splice_region_variant	1
stop_lost&splice_region_variant	1
