functional_impact	frequency_status	is_clinically_supported	n
synonymous	common	False	11155
missense	common	False	10310
splice_relevant	common	False	2156
synonymous	low_frequency	False	536
synonymous	rare	False	505
loss_of_function	common	False	376
other_coding	common	False	328
missense	low_frequency	False	175
splice_relevant	low_frequency	False	119
missense	missing	False	116
splice_relevant	rare	False	103
missense	rare	False	93
synonymous	missing	False	54
other_coding	rare	False	44
other_coding	low_frequency	False	42
missense	common	True	23
loss_of_function	missing	False	17
splice_relevant	missing	False	13
other_coding	missing	False	9
loss_of_function	rare	False	3
synonymous	common	True	3
missense	missing	True	2
loss_of_function	common	True	1
loss_of_function	low_frequency	False	1
splice_relevant	common	True	1
