source_interpretation_label	count
noncoding_common_or_low_support	610184
noncoding_uninterpretable	141412
regulatory_or_transcript_rare	32089
coding_common_or_low_support	26236
lof_or_missense_rare	1191
coding_uninterpretable	441
lof_rare_clinically_supported	1
