Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.891917,0.950865,0.675186,0.9204479999999999,32,227,2809091522,2546949881.000000,0.000000,6495,.,.,3608.000000,2225.000000,,1.621573033707865,5793,.,.,3253.000000,2109.000000,,1.5424371740161213,702,.,.,355.000000,116.000000,,3.060344827586207,18860,.,.,13298.000000,5562.000000,,2.39086659475009,5825,.,.,3716.000000,2109.000000,,1.7619724988146042,301,.,.,264.000000,37.000000,,7.135135135135135,12734,.,.,9318.000000,3416.000000,,2.727751756440281
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.891917,0.950865,0.675186,0.9204479999999999,32,227,2809091522,2546949881.000000,0.000000,6495,.,.,3608.000000,2225.000000,,1.621573033707865,5793,.,.,3253.000000,2109.000000,,1.5424371740161213,702,.,.,355.000000,116.000000,,3.060344827586207,18860,.,.,13298.000000,5562.000000,,2.39086659475009,5825,.,.,3716.000000,2109.000000,,1.7619724988146042,301,.,.,264.000000,37.000000,,7.135135135135135,12734,.,.,9318.000000,3416.000000,,2.727751756440281
INDEL,D16_PLUS,TS_boundary,ALL,*,QUAL,*,0.733333,0.5,0.900452,0.594595,0,2,3033800718.000000,2546949881.000000,0.000000,15,.,.,11.000000,4.000000,,2.75,11,.,.,7.000000,4.000000,,1.75,4,.,.,4.000000,0.000000,,,221,.,.,159.000000,62.000000,,2.564516129032258,11,.,.,7.000000,4.000000,,1.75,11,.,.,11.000000,0.000000,,,199,.,.,141.000000,58.000000,,2.4310344827586206
INDEL,D16_PLUS,TS_boundary,PASS,*,QUAL,*,0.733333,0.5,0.900452,0.594595,0,2,3033800718.000000,2546949881.000000,0.000000,15,.,.,11.000000,4.000000,,2.75,11,.,.,7.000000,4.000000,,1.75,4,.,.,4.000000,0.000000,,,221,.,.,159.000000,62.000000,,2.564516129032258,11,.,.,7.000000,4.000000,,1.75,11,.,.,11.000000,0.000000,,,199,.,.,141.000000,58.000000,,2.4310344827586206
INDEL,D16_PLUS,TS_contained,ALL,*,QUAL,*,0.892284,0.95249,0.0,0.9214049999999999,32,225,2546949881.000000,2546949881.000000,0.000000,6480,.,.,3597.000000,2221.000000,,1.6195407474110761,5782,.,.,3246.000000,2105.000000,,1.542042755344418,698,.,.,351.000000,116.000000,,3.0258620689655173,6104,.,.,3962.000000,2142.000000,,1.8496732026143792,5814,.,.,3709.000000,2105.000000,,1.7619952494061757,290,.,.,253.000000,37.000000,,6.837837837837838,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,PASS,*,QUAL,*,0.892284,0.95249,0.0,0.9214049999999999,32,225,2546949881.000000,2546949881.000000,0.000000,6480,.,.,3597.000000,2221.000000,,1.6195407474110761,5782,.,.,3246.000000,2105.000000,,1.542042755344418,698,.,.,351.000000,116.000000,,3.0258620689655173,6104,.,.,3962.000000,2142.000000,,1.8496732026143792,5814,.,.,3709.000000,2105.000000,,1.7619952494061757,290,.,.,253.000000,37.000000,,6.837837837837838,0,.,.,0.000000,0.000000,,
INDEL,D1_5,*,ALL,*,QUAL,*,0.842733,0.934923,0.25099099999999996,0.886437,2625,5786,2809091522,2546949881.000000,0.000000,245551,.,.,140049.000000,86127.000000,,1.626075446724024,206934,.,.,120686.000000,77331.000000,,1.560641915919877,38617,.,.,19363.000000,8796.000000,,2.2013415188722147,298891,.,.,191638.000000,107253.000000,,1.7867845188479576,209303,.,.,131954.000000,77349.000000,,1.705956120958254,14569,.,.,11918.000000,2651.000000,,4.495662014334213,75019,.,.,47766.000000,27253.000000,,1.7526877774923861
INDEL,D1_5,*,PASS,*,QUAL,*,0.842733,0.934923,0.25099099999999996,0.886437,2625,5786,2809091522,2546949881.000000,0.000000,245551,.,.,140049.000000,86127.000000,,1.626075446724024,206934,.,.,120686.000000,77331.000000,,1.560641915919877,38617,.,.,19363.000000,8796.000000,,2.2013415188722147,298891,.,.,191638.000000,107253.000000,,1.7867845188479576,209303,.,.,131954.000000,77349.000000,,1.705956120958254,14569,.,.,11918.000000,2651.000000,,4.495662014334213,75019,.,.,47766.000000,27253.000000,,1.7526877774923861
INDEL,D1_5,TS_boundary,ALL,*,QUAL,*,0.775824,0.684008,0.800231,0.727029,8,21,3033800718.000000,2546949881.000000,0.000000,455,.,.,280.000000,168.000000,,1.6666666666666667,353,.,.,209.000000,142.000000,,1.471830985915493,102,.,.,71.000000,26.000000,,2.730769230769231,2598,.,.,1678.000000,920.000000,,1.8239130434782609,355,.,.,213.000000,142.000000,,1.5,164,.,.,158.000000,6.000000,,26.333333333333332,2079,.,.,1307.000000,772.000000,,1.6930051813471503
INDEL,D1_5,TS_boundary,PASS,*,QUAL,*,0.775824,0.684008,0.800231,0.727029,8,21,3033800718.000000,2546949881.000000,0.000000,455,.,.,280.000000,168.000000,,1.6666666666666667,353,.,.,209.000000,142.000000,,1.471830985915493,102,.,.,71.000000,26.000000,,2.730769230769231,2598,.,.,1678.000000,920.000000,,1.8239130434782609,355,.,.,213.000000,142.000000,,1.5,164,.,.,158.000000,6.000000,,26.333333333333332,2079,.,.,1307.000000,772.000000,,1.6930051813471503
INDEL,D1_5,TS_contained,ALL,*,QUAL,*,0.842857,0.935506,0.0,0.886768,2617,5765,2546949881.000000,2546949881.000000,0.000000,245096,.,.,139769.000000,85959.000000,,1.6259961144266453,206581,.,.,120477.000000,77189.000000,,1.560805296091412,38515,.,.,19292.000000,8770.000000,,2.1997719498289623,223353,.,.,143501.000000,79852.000000,,1.797087111155638,208948,.,.,131741.000000,77207.000000,,1.7063349178183325,14405,.,.,11760.000000,2645.000000,,4.446124763705104,0,.,.,0.000000,0.000000,,
INDEL,D1_5,TS_contained,PASS,*,QUAL,*,0.842857,0.935506,0.0,0.886768,2617,5765,2546949881.000000,2546949881.000000,0.000000,245096,.,.,139769.000000,85959.000000,,1.6259961144266453,206581,.,.,120477.000000,77189.000000,,1.560805296091412,38515,.,.,19292.000000,8770.000000,,2.1997719498289623,223353,.,.,143501.000000,79852.000000,,1.797087111155638,208948,.,.,131741.000000,77207.000000,,1.7063349178183325,14405,.,.,11760.000000,2645.000000,,4.446124763705104,0,.,.,0.000000,0.000000,,
