Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525466,445168,80298,684321,26168,202175,5618,12780,0.8471870000000001,0.9457260000000001,0.295439,0.893749,,,1.528275734138537,1.6244175970218273
INDEL,PASS,525466,445168,80298,684321,26168,202175,5618,12780,0.8471870000000001,0.9457260000000001,0.295439,0.893749,,,1.528275734138537,1.6244175970218273
SNP,ALL,3365115,3294402,70713,3808279,48167,465075,6906,4724,0.978986,0.985593,0.12212200000000001,0.9822780000000001,2.1001288556531157,1.991301807719459,1.5811958532541182,1.6725655018538295
SNP,PASS,3365115,3294402,70713,3808279,48167,465075,6906,4724,0.978986,0.985593,0.12212200000000001,0.9822780000000001,2.1001288556531157,1.991301807719459,1.5811958532541182,1.6725655018538295
