run_id	variant_type	truth_tp	truth_fn	query_tp	query_fp	precision	recall	f1
run_2026_06_03_010030	SNP	3294402	70713		48167	0.985593	0.978986	0.9822783901263324
run_2026_06_03_010030	INDEL	445168	80298		26168	0.9457260000000001	0.8471870000000001	0.8937486344981603
