SRA	run_id	depth_category	artifact_group	artifact_name	source_path	destination_path	operation	status	rows_written	notes
ERR10619208	run_2026_05_30_151355	median	directory	overlay_tiered_gene_outputs		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619208/sql_outputs/overlay_tiered_gene_outputs	mkdir	ok	NA	directory ensured
ERR10619208	run_2026_05_30_151355	median	figure	ERR10619208_f5_interoperability_substrates.png	results/run_2026_05_30_151355/figures/ERR10619208_f5_interoperability_substrates.png	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619208/figures/ERR10619208_f5_interoperability_substrates.png	copy	ok	NA	copied actual VAP pluralized F5 filename
ERR10619208	run_2026_05_30_151355	median	table	gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/cross_run_tables/gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619208/tables/gene_list_overlay_intersections.tsv	subset	ok	1140	subset by exact run_id
ERR10619208	run_2026_05_30_151355	median	table	overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/cross_run_tables/overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619208/tables/overlay_gene_coding_clinical_evidence.tsv	subset	ok	504	subset by exact run_id
ERR10619208	run_2026_05_30_151355	median	overlay_tiered_gene_output	ERR10619208_tier1_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_30_151355/logs/stage12_exploration/unique_genes/ERR10619208_tier1_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619208/sql_outputs/overlay_tiered_gene_outputs/ERR10619208_tier1_unique_genes_mito_epi_overlay.tsv	copy	ok	1	copied without renaming or content modification
ERR10619208	run_2026_05_30_151355	median	overlay_tiered_gene_output	ERR10619208_tier2_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_30_151355/logs/stage12_exploration/unique_genes/ERR10619208_tier2_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619208/sql_outputs/overlay_tiered_gene_outputs/ERR10619208_tier2_unique_genes_mito_epi_overlay.tsv	copy	ok	61	copied without renaming or content modification
ERR10619208	run_2026_05_30_151355	median	overlay_tiered_gene_output	ERR10619208_tier3_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_30_151355/logs/stage12_exploration/unique_genes/ERR10619208_tier3_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619208/sql_outputs/overlay_tiered_gene_outputs/ERR10619208_tier3_unique_genes_mito_epi_overlay.tsv	copy	ok	936	copied without renaming or content modification
ERR10619212	run_2026_05_30_214724	q1	directory	figures		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619212/figures	mkdir	ok	NA	directory ensured
ERR10619212	run_2026_05_30_214724	q1	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619212/tables	mkdir	ok	NA	directory ensured
ERR10619212	run_2026_05_30_214724	q1	directory	overlay_tiered_gene_outputs		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619212/sql_outputs/overlay_tiered_gene_outputs	mkdir	ok	NA	directory ensured
ERR10619212	run_2026_05_30_214724	q1	figure	ERR10619212_f5_interoperability_substrates.png	results/run_2026_05_30_214724/figures/ERR10619212_f5_interoperability_substrates.png	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619212/figures/ERR10619212_f5_interoperability_substrates.png	copy	ok	NA	copied actual VAP pluralized F5 filename
ERR10619212	run_2026_05_30_214724	q1	table	gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/cross_run_tables/gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619212/tables/gene_list_overlay_intersections.tsv	subset	ok	1140	subset by exact run_id
ERR10619212	run_2026_05_30_214724	q1	table	overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/cross_run_tables/overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619212/tables/overlay_gene_coding_clinical_evidence.tsv	subset	ok	491	subset by exact run_id
ERR10619212	run_2026_05_30_214724	q1	overlay_tiered_gene_output	ERR10619212_tier1_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_30_214724/logs/stage12_exploration/unique_genes/ERR10619212_tier1_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619212/sql_outputs/overlay_tiered_gene_outputs/ERR10619212_tier1_unique_genes_mito_epi_overlay.tsv	copy	ok	1	copied without renaming or content modification
ERR10619212	run_2026_05_30_214724	q1	overlay_tiered_gene_output	ERR10619212_tier2_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_30_214724/logs/stage12_exploration/unique_genes/ERR10619212_tier2_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619212/sql_outputs/overlay_tiered_gene_outputs/ERR10619212_tier2_unique_genes_mito_epi_overlay.tsv	copy	ok	59	copied without renaming or content modification
