consequence	count
intron_variant	390487
intron_variant&non_coding_transcript_variant	175238
intergenic_variant	141962
upstream_gene_variant	70949
downstream_gene_variant	62185
non_coding_transcript_exon_variant	18251
synonymous_variant	11942
missense_variant	11326
3_prime_UTR_variant	11279
5_prime_UTR_variant	3339
splice_polypyrimidine_tract_variant&intron_variant	2293
intron_variant&NMD_transcript_variant	1418
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1418
splice_region_variant&intron_variant	450
splice_donor_region_variant&intron_variant	363
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	322
missense_variant&splice_region_variant	275
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	253
splice_region_variant&synonymous_variant	250
inframe_deletion	237
frameshift_variant	235
splice_region_variant&non_coding_transcript_exon_variant	198
inframe_insertion	158
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	108
stop_gained	96
splice_donor_5th_base_variant&intron_variant	87
splice_region_variant&intron_variant&non_coding_transcript_variant	51
splice_donor_variant&non_coding_transcript_variant	38
splice_acceptor_variant&non_coding_transcript_variant	35
3_prime_UTR_variant&NMD_transcript_variant	34
splice_region_variant&5_prime_UTR_variant	31
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	29
splice_donor_variant	28
splice_acceptor_variant	25
stop_lost	22
stop_retained_variant	12
start_lost	10
frameshift_variant&splice_region_variant	7
mature_miRNA_variant	6
stop_gained&frameshift_variant	5
frameshift_variant&stop_lost	4
inframe_insertion&stop_retained_variant	4
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	4
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	4
splice_donor_variant&splice_donor_region_variant&intron_variant	4
splice_region_variant&3_prime_UTR_variant	4
frameshift_variant&splice_donor_region_variant	3
splice_region_variant&non_coding_transcript_variant	3
coding_sequence_variant	2
frameshift_variant&start_lost&start_retained_variant	2
inframe_insertion&splice_region_variant	2
missense_variant&NMD_transcript_variant	2
protein_altering_variant	2
start_lost&start_retained_variant	2
stop_gained&splice_region_variant	2
5_prime_UTR_variant&NMD_transcript_variant	1
frameshift_variant&splice_region_variant&intron_variant	1
incomplete_terminal_codon_variant&coding_sequence_variant	1
inframe_deletion&splice_region_variant	1
inframe_insertion&splice_region_variant&stop_retained_variant	1
splice_acceptor_variant&5_prime_UTR_variant	1
splice_acceptor_variant&NMD_transcript_variant	1
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_variant&non_coding_transcript_exon_variant	1
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	1
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
start_lost&splice_region_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_retained_variant&3_prime_UTR_variant	1
