gene_symbol	n_variants
NA	10415
DUX4L19	235
DUX4L16	217
DUX4L17	215
DUX4L18	169
PABPC1P5	56
FRG2C	50
Y_RNA	49
LINC01667	41
SLC9B1P1	38
ROCK1P1	36
CDC27P2	26
FAM27C	24
MUC16	24
MUC17	24
FRG2	23
DUX4L34	22
DUX4L4	22
FAM27E3	21
LINC01410	21
CASC15	19
FAM8A4P	19
PRAMEF1	19
LINC01320	18
LINC01588	18
FAM230C	17
MUC3A	17
MUC6	17
CDRT15P10	16
LINC02732	16
PRAMEF12	16
ENPP7P7	15
MIR3681HG	15
ADAMTS7P3	14
DYNLRB2-AS1	14
HLA-DRB6	14
LINC00595	14
PTCHD1-AS	14
SGO1-AS1	14
SOX2-OT	14
ANKRD20A9P	13
ANKRD36BP2	13
BAGE2	13
CTBP2P1	13
DUX4	13
FAM86B3P	13
FRG1-DT	13
FTX	13
LILRB1	13
LILRB2	13
LINC00378	13
PRAMEF10	13
PRAMEF6	13
SNRPG	13
SPRY4-AS1	13
CCDC26	12
CDC27P1	12
DNM1P47	12
DUX4L8	12
IGHA2	12
LILRP1	12
LINC01060	12
PRAMEF20	12
PRAMEF33	12
TMEM174	12
USP2-AS1	12
GUSBP5	11
KTN1-AS1	11
LINC00511	11
LINC01470	11
LINC02018	11
LINC02055	11
LINC02779	11
MUC4	11
PWRN1	11
TLE1-DT	11
CROCCP2	10
DPY19L1P1	10
F11-AS1	10
LINC00434	10
LINC01476	10
LINC02006	10
LINC02245	10
MTSS2	10
NRXN1-DT	10
PGM5P2	10
POT1-AS1	10
PSMD7-DT	10
RHPN2P1	10
SLC9B1P3	10
SOX5	10
TNRC6A	10
YWHAEP7	10
AHI1-DT	9
CDC42EP3-AS1	9
DAB1	9
DLEU1	9
FAM230G	9
HLA-DQA1	9
HULC	9
ITGB1-DT	9
LINC-PINT	9
LINC01036	9
LINC01250	9
LINC01278	9
LINC01830	9
LINC02113	9
LINC02882	9
LINC02934	9
LINC02997	9
MDS2	9
NBPF25P	9
PKN2-AS1	9
PTH2R	9
PVT1	9
VSIG10	9
ALG1L6P	8
CASTOR3P	8
DDT	8
DTX2P1	8
FIRRE	8
FXYD4	8
GBP7	8
GTF2I-AS1	8
GXYLT1P7	8
HEBP2P1	8
HLA-DQB1	8
HLA-H	8
LINC00973	8
LINC01508	8
LINC01605	8
LINC01702	8
LINC02008	8
LINC02240	8
MCPH1-DT	8
METAZOA_SRP	8
MIR3667HG	8
NOVA1-DT	8
NPSR1-AS1	8
PCAT1	8
PCBP1-AS1	8
PITX1-AS1	8
PRAMEF28P	8
PRANCR	8
PRSS3P1	8
SMARCAD1-DT	8
SUMF1	8
TBC1D8	8
TRBV6-6	8
TTC9C	8
TULP4	8
ACTR3-AS1	7
ARL16	7
ATP6V0E1	7
CMAHP	7
COX10-DT	7
DIRC3	7
DISC1FP1	7
EGLN3	7
FAM182A	7
FAM66A	7
FLJ43315	7
FSIP2-AS1	7
HLA-C	7
HLA-DRB1	7
HYDIN2	7
IL12B-AS1	7
LINC00504	7
LINC00970	7
LINC01182	7
LINC01429	7
LINC01440	7
LINC01982	7
LINC02306	7
LINC02384	7
LINC02449	7
LINC02832	7
LINC03006	7
LITATS1	7
LNC-LBCS	7
MIR646HG	7
MITA1	7
NBPF13P	7
RBFOX1	7
RBMXP5	7
SLC25A12	7
SLC9B1P4	7
SNHG27	7
SPEN-AS1	7
TENM3-AS1	7
TRBV7-4	7
TRBV7-6	7
TRPC6	7
USP41P	7
ZDHHC8BP	7
ATXN2-AS	6
B3GALNT2P1	6
BOD1	6
C5AR1	6
CAAP1	6
CALCRL-AS1	6
CAVIN2-AS1	6
CDRT15P7	6
CEP170P1	6
CGB3	6
CPXM2	6
CT70	6
EPS15-AS1	6
FAM85B	6
FCGBP	6
FLYWCH2	6
FRG1BP	6
FRG1HP	6
GUSBP1	6
HLA-A	6
HORMAD2-AS1	6
ITFG2-AS1	6
KIR2DL1	6
KIR2DP1	6
LINC00273	6
LINC00299	6
LINC00581	6
LINC00861	6
LINC00882	6
LINC01122	6
LINC01301	6
LINC01376	6
LINC01414	6
LINC01483	6
LINC01500	6
LINC01517	6
LINC01572	6
LINC01597	6
LINC01828	6
LINC01841	6
LINC01882	6
LINC01908	6
LINC02177	6
LINC02253	6
LINC02505	6
LINC02884	6
LINC02901	6
LINC02929	6
LINC03062	6
LNCTSI	6
LYPLAL1-DT	6
MAP4K3-DT	6
MIR4300HG	6
MUC12	6
MUC2	6
NAALADL2	6
NR2F2-AS1	6
OLMALINC	6
OXA1L-DT	6
PABPC3	6
PARL	6
PRAMEF14	6
PRAMEF31P	6
RAP2C-AS1	6
REL-DT	6
RFLNA	6
SDHAP3	6
SEPTIN12	6
SIAH2-AS1	6
SLC16A1-AS1	6
SMG1P6	6
SNRPA1P1	6
SUGT1P3	6
TAS2R43	6
TRPM3	6
TSC22D1-AS1	6
TUBB8B	6
U2	6
USP38-DT	6
VWFP1	6
XRCC6P1	6
ABCC13	5
ABCD1P3	5
ACTR3BP1	5
AGA-DT	5
ALG10B	5
ANGPTL6	5
ARFGEF1-DT	5
ARHGAP23P1	5
ARHGEF18-AS1	5
BTF3L4	5
C16ORF95	5
C4B	5
CAV2-DT	5
CDK5R2-AS1	5
CEP192	5
CHEK2P1	5
CHEK2P2	5
CICP26	5
CLCA4-AS1	5
CMKLR2-AS	5
CNIH3	5
COL18A1-AS2	5
CSTF3-DT	5
DAP3	5
DLX2-DT	5
DMGDH	5
DYNLL2-DT	5
EIF5A	5
EMCN	5
EPIC1	5
ETS2-AS1	5
GDNF-AS1	5
GMDS-DT	5
HLA-B	5
HNRNPA1P3	5
ICAM5	5
IL9RP2	5
IP6K3	5
KLF2-DT	5
KSR1P1	5
LILRA2	5
LINC00159	5
LINC00276	5
LINC00326	5
LINC00620	5
LINC00865	5
LINC00885	5
LINC01030	5
LINC01170	5
LINC01416	5
LINC01473	5
LINC01754	5
LINC01789	5
LINC01865	5
LINC01876	5
LINC02053	5
LINC02196	5
LINC02198	5
LINC02223	5
LINC02277	5
LINC02580	5
LINC02646	5
LINC02694	5
LINC02755	5
LINC03000	5
LINC03036	5
LINC03135	5
LINC03138	5
LINC03142	5
LIPE-AS1	5
LOHAN2	5
MARK3	5
MCM4	5
MIATNB	5
MICA	5
MIR100HG	5
MIR4527HG	5
MIR924HG	5
MIR99AHG	5
MRPL18	5
MUC22	5
MXRA5Y	5
MYOSLID-AS1	5
NBPF17P	5
NFIA-AS2	5
NRBP2	5
OBI1-AS1	5
PABPC1	5
PAFAH1B2P2	5
PGAM1P5	5
PKD1P2	5
POLR2J4	5
PPP1R3B-DT	5
PRAMEF17	5
PRR3	5
PSLNR	5
RMST	5
RRN3P2	5
SEPTIN7-DT	5
SLAMF9	5
SLC66A1LP	5
SNHG16	5
STAG2	5
SURF1	5
UBE2H-DT	5
UPP2	5
ZBED5-AS1	5
ZNF487	5
ZNF56P	5
ZNF658B	5
ABCA7	4
ADAMTSL4	4
AFF4-DT	4
AHNAK	4
ANAPC1P2	4
ANK2-AS1	4
ANKRD20A2P	4
ANKRD20A5P	4
ANKRD30BL	4
ARHGEF15	4
ARHGEF2-AS1	4
ARMCX4	4
ATG9B	4
ATP11AUN	4
AURKB	4
AVPR2	4
BCKDK	4
BIN2	4
BOLA3P3	4
C20ORF181	4
CABIN1	4
CACFD1	4
CARINH	4
CARMAL	4
CAST	4
CCDC137	4
CCDC144NL-AS1	4
CD70	4
CDHR3	4
CEACAM22P	4
CFAP20DC-DT	4
CFAP418-AS1	4
CGB5	4
CNN2P4	4
CSPG4P5	4
DDX11L16	4
DDX12B	4
DELEC1	4
DMAC1	4
DNAAF4	4
DPP7	4
DSCR4	4
DUX4L20	4
EFCAB13-DT	4
EPCAM-DT	4
ERRFI1-DT	4
FAM170B-AS1	4
FAM174A-DT	4
FAM21EP	4
FCER1G	4
FGD4	4
GALNT15	4
GNG12-AS1	4
GP1BB	4
GPR160	4
GREB1L-DT	4
GXYLT1P1	4
H2AZ1-DT	4
HCG20	4
HERC2	4
HEY2-AS1	4
HLA-DRB5	4
HLA-E	4
HNRNPA1P63	4
HNRNPH1P1	4
HNRNPKP3	4
HRG-AS1	4
HRH1	4
HTATSF1P1	4
IL12A-AS1	4
IL9RP4	4
INTS4P1	4
ISYNA1	4
KCNS3	4
KDM4E	4
LBX1-AS1	4
LERFS	4
LIAT1	4
LILRA4	4
LILRB3	4
LINC00251	4
LINC00323	4
LINC00376	4
LINC00536	4
LINC00540	4
LINC00571	4
LINC00630	4
LINC00937	4
LINC00960	4
LINC01031	4
LINC01090	4
LINC01138	4
LINC01162	4
LINC01164	4
LINC01285	4
LINC01322	4
LINC01456	4
LINC01524	4
LINC01606	4
LINC01681	4
LINC01811	4
LINC01823	4
LINC01911	4
LINC01933	4
LINC01937	4
LINC01965	4
LINC02057	4
LINC02109	4
LINC02151	4
LINC02182	4
LINC02267	4
LINC02297	4
LINC02319	4
LINC02320	4
LINC02336	4
LINC02337	4
LINC02355	4
LINC02373	4
LINC02377	4
LINC02458	4
LINC02488	4
LINC02532	4
LINC02577	4
LINC02608	4
LINC02615	4
LINC02645	4
LINC02649	4
LINC02663	4
LINC02762	4
LINC02800	4
LINC02801	4
LINC02814	4
LINC02851	4
LINC02941	4
LINC02955	4
LINC03041	4
LIPH	4
LIX1-AS1	4
LMNTD2	4
LRIG3-DT	4
LRRC26	4
LSM3P3	4
MAILR	4
MCPH1-AS1	4
MECP2	4
MFSD14CP	4
MIR3171HG	4
MIR325HG	4
MORC3	4
MRPL14	4
MRPS17	4
MSH6	4
MTHFD2P1	4
MTND1P29	4
MTR	4
MTRES1	4
MUC20-OT1	4
MUC5AC	4
NALCN-AS1	4
NATP	4
NGFR-AS1	4
NIHCOLE	4
NIP7P1	4
