sample_id	run_id	assay_type	run_classification	clinical_evidence	clinical_status	variant_count
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	benign	benign	7243
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	conflicting	conflicting	89
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	likely_benign	likely_benign	862
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	likely_pathogenic	likely_pathogenic	19
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	missing	missing	19363
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	pathogenic	pathogenic	12
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	vus	vus	281
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	benign	benign	7243
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	conflicting	conflicting	89
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	likely_benign	likely_benign	862
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	likely_pathogenic	likely_pathogenic	19
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	missing	missing	19363
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	pathogenic	pathogenic	12
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	vus	vus	281
