source_interpretation_label	count
noncoding_common_or_low_support	688531
noncoding_uninterpretable	161786
regulatory_or_transcript_rare	33277
coding_common_or_low_support	24521
lof_or_missense_rare	1088
coding_uninterpretable	493
lof_rare_clinically_supported	2
