consequence	count
intron_variant	390898
intron_variant&non_coding_transcript_variant	176931
intergenic_variant	147659
upstream_gene_variant	70007
downstream_gene_variant	62058
non_coding_transcript_exon_variant	17331
synonymous_variant	11413
3_prime_UTR_variant	11008
missense_variant	10975
5_prime_UTR_variant	3104
splice_polypyrimidine_tract_variant&intron_variant	2249
intron_variant&NMD_transcript_variant	1432
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1384
splice_region_variant&intron_variant	432
splice_donor_region_variant&intron_variant	374
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	278
missense_variant&splice_region_variant	251
frameshift_variant	238
splice_region_variant&synonymous_variant	234
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	223
inframe_deletion	214
splice_region_variant&non_coding_transcript_exon_variant	167
inframe_insertion	166
splice_donor_5th_base_variant&intron_variant	94
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	90
stop_gained	88
splice_region_variant&intron_variant&non_coding_transcript_variant	58
splice_donor_variant&non_coding_transcript_variant	42
3_prime_UTR_variant&NMD_transcript_variant	34
splice_acceptor_variant&non_coding_transcript_variant	31
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	31
splice_donor_variant	31
splice_region_variant&5_prime_UTR_variant	27
splice_acceptor_variant	22
stop_lost	20
start_lost	13
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	8
stop_retained_variant	8
frameshift_variant&splice_region_variant	6
stop_gained&frameshift_variant	5
frameshift_variant&start_lost&start_retained_variant	4
splice_region_variant&3_prime_UTR_variant	4
frameshift_variant&splice_donor_region_variant	3
frameshift_variant&stop_lost	3
inframe_insertion&stop_retained_variant	3
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	3
splice_region_variant&non_coding_transcript_variant	3
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	3
coding_sequence_variant	2
mature_miRNA_variant	2
missense_variant&NMD_transcript_variant	2
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	2
splice_donor_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	2
start_lost&start_retained_variant	2
stop_retained_variant&3_prime_UTR_variant	2
frameshift_variant&start_retained_variant	1
incomplete_terminal_codon_variant&coding_sequence_variant	1
protein_altering_variant	1
splice_acceptor_variant&5_prime_UTR_variant	1
splice_acceptor_variant&NMD_transcript_variant	1
splice_acceptor_variant&coding_sequence_variant	1
splice_acceptor_variant&coding_sequence_variant&intron_variant	1
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	1
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_variant&coding_sequence_variant	1
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	1
splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
start_lost&splice_region_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
stop_gained&splice_region_variant	1
stop_lost&splice_region_variant	1
synonymous_variant&NMD_transcript_variant	1
