sample_id	run_id	assay_type	run_classification	interpretation_domain	summary_axis	consequence_label	count
ERR10619208	run_2026_05_30_151355	WES	median	coding	frequency_class	common	24785
ERR10619208	run_2026_05_30_151355	WES	median	coding	frequency_class	low_frequency	1453
ERR10619208	run_2026_05_30_151355	WES	median	coding	frequency_class	missing	254
ERR10619208	run_2026_05_30_151355	WES	median	coding	frequency_class	rare	1549
ERR10619208	run_2026_05_30_151355	WES	median	coding	frequency_class	unknown	0
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	frequency_class	common	709203
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	frequency_class	low_frequency	35282
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	frequency_class	missing	30762
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	frequency_class	rare	46111
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	frequency_class	unknown	0
ERR10619208	run_2026_05_30_151355	WES	median	coding	interpretation_label	coding_common_or_low_support	26297
ERR10619208	run_2026_05_30_151355	WES	median	coding	interpretation_label	coding_uninterpretable	471
ERR10619208	run_2026_05_30_151355	WES	median	coding	interpretation_label	lof_or_missense_rare	1272
ERR10619208	run_2026_05_30_151355	WES	median	coding	interpretation_label	lof_rare_clinically_supported	1
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	interpretation_label	noncoding_common_or_low_support	642368
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	interpretation_label	noncoding_uninterpretable	149123
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	interpretation_label	regulatory_or_transcript_rare	29867
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	interpretation_label	regulatory_rare_supported	0
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	context	intergenic	135092
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	context	intronic	366853
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	context	proximal	122782
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	context	regulatory	0
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	context	transcript_associated	182600
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	context	unknown	14031
ERR10619208	run_2026_05_30_151355	WES	median	coding	variant_function	loss_of_function	530
ERR10619208	run_2026_05_30_151355	WES	median	coding	variant_function	missense	12088
ERR10619208	run_2026_05_30_151355	WES	median	coding	variant_function	other_coding	411
ERR10619208	run_2026_05_30_151355	WES	median	coding	variant_function	splice_relevant	2679
ERR10619208	run_2026_05_30_151355	WES	median	coding	variant_function	synonymous	12333
ERR10619208	run_2026_05_30_151355	WES	median	coding	variant_function	unknown	0
ERR10619208	run_2026_05_30_151355	WES	median	coding	clinical_status	benign	7252
ERR10619208	run_2026_05_30_151355	WES	median	coding	clinical_status	conflicting	56
ERR10619208	run_2026_05_30_151355	WES	median	coding	clinical_status	likely_benign	806
ERR10619208	run_2026_05_30_151355	WES	median	coding	clinical_status	likely_pathogenic	19
ERR10619208	run_2026_05_30_151355	WES	median	coding	clinical_status	missing	19623
ERR10619208	run_2026_05_30_151355	WES	median	coding	clinical_status	pathogenic	16
ERR10619208	run_2026_05_30_151355	WES	median	coding	clinical_status	vus	269
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	clinical_status	benign	27196
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	clinical_status	conflicting	16
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	clinical_status	likely_benign	1501
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	clinical_status	likely_pathogenic	4
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	clinical_status	missing	792393
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	clinical_status	pathogenic	13
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	clinical_status	vus	235
