sample_id	run_id	priority_tier	count
ERR10619230	run_2026_06_01_004903	tier_1_high_confidence_candidate	3
ERR10619230	run_2026_06_01_004903	tier_2_moderate_candidate	25280
ERR10619230	run_2026_06_01_004903	tier_3_low_support_or_common	538635
ERR10619230	run_2026_06_01_004903	tier_4_uninterpretable_or_qc_limited	117136
