sample_id	run_id	assay_type	pipeline_version	status	machine_id	config_path	git_commit	config_hash	reference_genome	reference_fasta_hash_or_size	execution_profile
ERR10619281	run_2026_05_14_083044	WGS	v1.0	completed	VandPyMolGPUResearch	config/config.mark.err10619281.baseline.yaml	0ea5d295c3c482a6caaa62114314cb7372d36d2b	49a151617a30ead4d1572c24a8717a7f3ea1524f92c62aee0ac9d34918a59845	GRCh38	3151425851	mark_err10619281_baseline_phase1a_extension
ERR10619281	run_2026_05_14_231247	WES	v1.0	completed	VandPyMolGPUResearch	config/config.mark.err10619281.baseline.yaml	e90c05dc26d73805816df01b79651286553797c0	f844d67fee06f3d8736f42d7c6c0639b2a051ab6749a15e0854a854e77bc8d74	GRCh38	3151425851	mark_err10619281_baseline_phase1a_extension
ERR10619300	run_2026_05_14_164444	WES	v1.0	completed	VandPyMolGPUResearch	config/config.mark.err10619300.baseline.yaml	e90c05dc26d73805816df01b79651286553797c0	f121aeff8f56295361cb533e1f15887367bc3b2aa585aadc0d22bf857c9d2fb3	GRCh38	3151425851	mark_err10619300_baseline_phase1a_extension
ERR10619300	run_2026_05_15_063040	WES	v1.0	completed	VandPyMolGPUResearch	config/config.mark.err10619300.baseline.yaml	0fc40ca44d2a8ba86414a8d292cae4facdf118ca	f121aeff8f56295361cb533e1f15887367bc3b2aa585aadc0d22bf857c9d2fb3	GRCh38	3151425851	mark_err10619300_baseline_phase1a_extension
